Round,Test Accuracy,Test Loss,Comm Cost (MB),Elapsed (s),Straggler Ratio,Participation Rate,Strategy,Dataset,Clients,Alpha
1,0.104,2.299669606781006,3.6842041015625,18.729949712753296,0.125,0.8,OORT_SIM,CIFAR10,10,0.01
2,0.1583,2.2999174758911134,7.368408203125,37.25350069999695,0.125,0.8,OORT_SIM,CIFAR10,10,0.01
3,0.1,3.0514823547363283,11.0526123046875,55.747344970703125,0.0,0.8,OORT_SIM,CIFAR10,10,0.01
4,0.1837,2.4772482639312745,14.73681640625,71.56665825843811,0.25,0.8,OORT_SIM,CIFAR10,10,0.01
5,0.1205,3.0690492473602293,18.4210205078125,90.00093245506287,0.125,0.8,OORT_SIM,CIFAR10,10,0.01
6,0.1693,2.3348138145446775,22.105224609375,109.56599354743958,0.25,0.8,OORT_SIM,CIFAR10,10,0.01
7,0.1055,3.1836211025238037,25.7894287109375,127.13766360282898,0.25,0.8,OORT_SIM,CIFAR10,10,0.01
8,0.1978,2.483481086730957,29.4736328125,146.79724049568176,0.125,0.8,OORT_SIM,CIFAR10,10,0.01
9,0.208,2.902032459259033,33.1578369140625,165.929856300354,0.125,0.8,OORT_SIM,CIFAR10,10,0.01
10,0.2247,2.180029621887207,36.842041015625,185.78538370132446,0.0,0.8,OORT_SIM,CIFAR10,10,0.01
11,0.1926,2.6896848976135255,40.5262451171875,203.99533200263977,0.125,0.8,OORT_SIM,CIFAR10,10,0.01
12,0.3206,1.9292786281585694,44.21044921875,224.0574712753296,0.125,0.8,OORT_SIM,CIFAR10,10,0.01
13,0.2257,2.3984762800216677,47.8946533203125,242.11513137817383,0.25,0.8,OORT_SIM,CIFAR10,10,0.01
14,0.3276,1.9577853744506837,51.578857421875,262.9845495223999,0.125,0.8,OORT_SIM,CIFAR10,10,0.01
15,0.2555,2.319243884277344,55.2630615234375,282.13387274742126,0.0,0.8,OORT_SIM,CIFAR10,10,0.01
16,0.3329,1.879870034790039,58.947265625,300.3134775161743,0.125,0.8,OORT_SIM,CIFAR10,10,0.01
17,0.3225,1.9895916248321532,62.6314697265625,320.77429819107056,0.125,0.8,OORT_SIM,CIFAR10,10,0.01
18,0.2145,2.3685212284088135,66.315673828125,337.53612446784973,0.125,0.8,OORT_SIM,CIFAR10,10,0.01
19,0.3412,2.1041750915527344,69.9998779296875,356.12490487098694,0.0,0.8,OORT_SIM,CIFAR10,10,0.01
20,0.3971,1.6975357389450074,73.68408203125,376.71249985694885,0.125,0.8,OORT_SIM,CIFAR10,10,0.01
21,0.3347,2.236178225517273,77.3682861328125,392.0767488479614,0.25,0.8,OORT_SIM,CIFAR10,10,0.01
22,0.3483,1.9363562131881713,81.052490234375,410.70155119895935,0.25,0.8,OORT_SIM,CIFAR10,10,0.01
23,0.3475,1.9202924465179443,84.7366943359375,430.4684040546417,0.125,0.8,OORT_SIM,CIFAR10,10,0.01
24,0.3782,1.8492438228607178,88.4208984375,446.62704825401306,0.25,0.8,OORT_SIM,CIFAR10,10,0.01
25,0.3448,1.9080593395233154,92.1051025390625,463.3175542354584,0.125,0.8,OORT_SIM,CIFAR10,10,0.01
26,0.3865,1.79535731010437,95.789306640625,482.4829626083374,0.0,0.8,OORT_SIM,CIFAR10,10,0.01
27,0.314,1.8794691417694092,99.4735107421875,501.508633852005,0.25,0.8,OORT_SIM,CIFAR10,10,0.01
28,0.3986,1.7185776899337768,103.15771484375,519.2538456916809,0.25,0.8,OORT_SIM,CIFAR10,10,0.01
29,0.3199,1.8647185314178467,106.8419189453125,534.8723881244659,0.25,0.8,OORT_SIM,CIFAR10,10,0.01
30,0.358,2.0530763494491575,110.526123046875,552.6755561828613,0.125,0.8,OORT_SIM,CIFAR10,10,0.01
31,0.3916,1.674922296142578,114.2103271484375,566.6917641162872,0.25,0.8,OORT_SIM,CIFAR10,10,0.01
32,0.3985,1.8119656639099122,117.89453125,582.6732444763184,0.25,0.8,OORT_SIM,CIFAR10,10,0.01
33,0.2515,2.948701277923584,121.5787353515625,600.7626330852509,0.25,0.8,OORT_SIM,CIFAR10,10,0.01
34,0.3538,2.030122817993164,125.262939453125,622.0921485424042,0.125,0.8,OORT_SIM,CIFAR10,10,0.01
35,0.3151,2.042547590637207,128.9471435546875,640.0055060386658,0.125,0.8,OORT_SIM,CIFAR10,10,0.01
36,0.3967,1.6850230905532837,132.63134765625,655.1502752304077,0.125,0.8,OORT_SIM,CIFAR10,10,0.01
37,0.3513,1.8166446784973145,136.3155517578125,674.8654942512512,0.125,0.8,OORT_SIM,CIFAR10,10,0.01
38,0.3978,1.7083154541015626,139.999755859375,694.1670935153961,0.0,0.8,OORT_SIM,CIFAR10,10,0.01
39,0.3392,1.9608938449859619,143.6839599609375,710.0481951236725,0.25,0.8,OORT_SIM,CIFAR10,10,0.01
40,0.3665,1.8452158544540405,147.3681640625,726.690477848053,0.125,0.8,OORT_SIM,CIFAR10,10,0.01
41,0.417,1.6843449405670166,151.0523681640625,746.3502323627472,0.0,0.8,OORT_SIM,CIFAR10,10,0.01
42,0.4353,1.7293528038024901,154.736572265625,763.9622795581818,0.125,0.8,OORT_SIM,CIFAR10,10,0.01
43,0.3985,1.80937017993927,158.4207763671875,780.0663187503815,0.125,0.8,OORT_SIM,CIFAR10,10,0.01
44,0.3506,2.1528736343383787,162.10498046875,800.5745105743408,0.25,0.8,OORT_SIM,CIFAR10,10,0.01
