round,accuracy,loss,strategy,dataset,num_clients,alpha,comm_cost_mb,Strategy,stragger_ratio
0,0.087,2.309582660293579,OORT,MNIST,10,0.1,16.084365844726562,Oort,0.4
1,0.7183,1.1383704858779906,OORT,MNIST,10,0.1,32.168731689453125,Oort,0.4
2,0.8121,0.663383950138092,OORT,MNIST,10,0.1,48.25309753417969,Oort,0.2
3,0.8192,0.5911044135093689,OORT,MNIST,10,0.1,64.33746337890625,Oort,0.4
4,0.9344,0.1918363435149193,OORT,MNIST,10,0.1,80.42182922363281,Oort,0.4
5,0.9651,0.1036192811153829,OORT,MNIST,10,0.1,96.50619506835938,Oort,0.4
6,0.9472,0.14949225916862488,OORT,MNIST,10,0.1,112.59056091308594,Oort,0.4
7,0.9551,0.13304938108921052,OORT,MNIST,10,0.1,128.6749267578125,Oort,0.4
8,0.9797,0.06374385679960251,OORT,MNIST,10,0.1,144.75929260253906,Oort,0.4
9,0.9722,0.09106992971897125,OORT,MNIST,10,0.1,160.84365844726562,Oort,0.4
10,0.9796,0.06541973404288291,OORT,MNIST,10,0.1,176.9280242919922,Oort,0.2
11,0.9779,0.07069945778511465,OORT,MNIST,10,0.1,193.01239013671875,Oort,0.2
12,0.9786,0.061485733300447466,OORT,MNIST,10,0.1,209.0967559814453,Oort,0.6
13,0.9679,0.0968906060218811,OORT,MNIST,10,0.1,225.18112182617188,Oort,0.8
14,0.979,0.061893626648187636,OORT,MNIST,10,0.1,241.26548767089844,Oort,0.8
15,0.9839,0.05335452500730753,OORT,MNIST,10,0.1,257.349853515625,Oort,0.6
16,0.9812,0.06330057547893375,OORT,MNIST,10,0.1,273.43421936035156,Oort,0.4
17,0.9815,0.07245368218272924,OORT,MNIST,10,0.1,289.5185852050781,Oort,0.4
18,0.9803,0.06948700919747353,OORT,MNIST,10,0.1,305.6029510498047,Oort,0.4
19,0.9828,0.05736153305405751,OORT,MNIST,10,0.1,321.68731689453125,Oort,0.2
20,0.9821,0.057462395824119446,OORT,MNIST,10,0.1,337.7716827392578,Oort,0.4
21,0.9835,0.05599634045958519,OORT,MNIST,10,0.1,353.8560485839844,Oort,0.2
22,0.9788,0.07351713375896216,OORT,MNIST,10,0.1,369.94041442871094,Oort,0.4
23,0.9859,0.05060184399187565,OORT,MNIST,10,0.1,386.0247802734375,Oort,0.4
24,0.9813,0.07112361615337431,OORT,MNIST,10,0.1,402.10914611816406,Oort,0.4
25,0.9768,0.08861685588918626,OORT,MNIST,10,0.1,418.1935119628906,Oort,0.2
26,0.9874,0.046781980586319695,OORT,MNIST,10,0.1,434.2778778076172,Oort,0.4
27,0.9829,0.06583423643205315,OORT,MNIST,10,0.1,450.36224365234375,Oort,0.2
28,0.9805,0.07239380681142212,OORT,MNIST,10,0.1,466.4466094970703,Oort,0.4
29,0.985,0.05930080654481426,OORT,MNIST,10,0.1,482.5309753417969,Oort,0.2
30,0.9866,0.04885918501652777,OORT,MNIST,10,0.1,498.61534118652344,Oort,0.2
31,0.988,0.04876957060447312,OORT,MNIST,10,0.1,514.69970703125,Oort,0.4
32,0.9859,0.05810286331474781,OORT,MNIST,10,0.1,530.7840728759766,Oort,0.4
33,0.9813,0.07052996002733708,OORT,MNIST,10,0.1,546.8684387207031,Oort,0.4
34,0.9887,0.04150958437388763,OORT,MNIST,10,0.1,562.9528045654297,Oort,0.2
35,0.9893,0.04100270108331461,OORT,MNIST,10,0.1,579.0371704101562,Oort,0.4
36,0.9874,0.05113170601688325,OORT,MNIST,10,0.1,595.1215362548828,Oort,0.4
37,0.9885,0.045925099575240165,OORT,MNIST,10,0.1,611.2059020996094,Oort,0.2
38,0.9844,0.059876615221053364,OORT,MNIST,10,0.1,627.2902679443359,Oort,0.4
39,0.9892,0.038219996326882395,OORT,MNIST,10,0.1,643.3746337890625,Oort,0.2
40,0.9896,0.03828511609639972,OORT,MNIST,10,0.1,659.4589996337891,Oort,0.2
41,0.9901,0.03722344075394794,OORT,MNIST,10,0.1,675.5433654785156,Oort,0.2
42,0.9881,0.045923877749592064,OORT,MNIST,10,0.1,691.6277313232422,Oort,0.4
43,0.9882,0.0488880297315307,OORT,MNIST,10,0.1,707.7120971679688,Oort,0.4
44,0.9887,0.04513491755090654,OORT,MNIST,10,0.1,723.7964630126953,Oort,0.4
45,0.9873,0.04572305252919614,OORT,MNIST,10,0.1,739.8808288574219,Oort,0.4
46,0.9886,0.04722079379605711,OORT,MNIST,10,0.1,755.9651947021484,Oort,0.2
47,0.9905,0.03620696168961003,OORT,MNIST,10,0.1,772.049560546875,Oort,0.2
48,0.988,0.04893368764147162,OORT,MNIST,10,0.1,788.1339263916016,Oort,0.4
49,0.9885,0.04566712822039262,OORT,MNIST,10,0.1,804.2182922363281,Oort,0.4
50,0.9897,0.0409951021186891,OORT,MNIST,10,0.1,820.3026580810547,Oort,0.2
