round,accuracy,loss,strategy,dataset,num_clients,alpha,comm_cost_mb,Strategy
0,0.0571,2.313392206573486,OORT,MNIST,10,0.5,16.084365844726562,Oort
1,0.9641,0.14935853828191759,OORT,MNIST,10,0.5,32.168731689453125,Oort
2,0.9837,0.05019502940401435,OORT,MNIST,10,0.5,48.25309753417969,Oort
3,0.9874,0.040642134109570176,OORT,MNIST,10,0.5,64.33746337890625,Oort
4,0.9864,0.043971344636566934,OORT,MNIST,10,0.5,80.42182922363281,Oort
5,0.9897,0.0342196243944345,OORT,MNIST,10,0.5,96.50619506835938,Oort
6,0.9897,0.03313874451816664,OORT,MNIST,10,0.5,112.59056091308594,Oort
7,0.9905,0.02746991362623521,OORT,MNIST,10,0.5,128.6749267578125,Oort
8,0.9898,0.030854811192525086,OORT,MNIST,10,0.5,144.75929260253906,Oort
9,0.9911,0.02855149499127001,OORT,MNIST,10,0.5,160.84365844726562,Oort
10,0.9913,0.029819071573149995,OORT,MNIST,10,0.5,176.9280242919922,Oort
11,0.9909,0.028085630170843798,OORT,MNIST,10,0.5,193.01239013671875,Oort
12,0.9907,0.03059459935185878,OORT,MNIST,10,0.5,209.0967559814453,Oort
13,0.9904,0.02985753249390473,OORT,MNIST,10,0.5,225.18112182617188,Oort
14,0.9913,0.027084557266143384,OORT,MNIST,10,0.5,241.26548767089844,Oort
15,0.9913,0.02808441622160426,OORT,MNIST,10,0.5,257.349853515625,Oort
16,0.991,0.03001695565611044,OORT,MNIST,10,0.5,273.43421936035156,Oort
17,0.9924,0.027607200089492655,OORT,MNIST,10,0.5,289.5185852050781,Oort
18,0.9919,0.026362236645061057,OORT,MNIST,10,0.5,305.6029510498047,Oort
19,0.9914,0.028857189401302823,OORT,MNIST,10,0.5,321.68731689453125,Oort
20,0.9926,0.02718046185268049,OORT,MNIST,10,0.5,337.7716827392578,Oort
21,0.9922,0.024711233360233745,OORT,MNIST,10,0.5,353.8560485839844,Oort
22,0.9923,0.024860030055456447,OORT,MNIST,10,0.5,369.94041442871094,Oort
23,0.9932,0.02523505310607161,OORT,MNIST,10,0.5,386.0247802734375,Oort
24,0.9926,0.026630959970686808,OORT,MNIST,10,0.5,402.10914611816406,Oort
25,0.9924,0.02694737944065637,OORT,MNIST,10,0.5,418.1935119628906,Oort
26,0.9927,0.025959458041121434,OORT,MNIST,10,0.5,434.2778778076172,Oort
27,0.993,0.0240806253348921,OORT,MNIST,10,0.5,450.36224365234375,Oort
28,0.9937,0.024544484077482775,OORT,MNIST,10,0.5,466.4466094970703,Oort
29,0.9924,0.027710659765029778,OORT,MNIST,10,0.5,482.5309753417969,Oort
30,0.9926,0.0283837190507933,OORT,MNIST,10,0.5,498.61534118652344,Oort
31,0.9925,0.027899453114876814,OORT,MNIST,10,0.5,514.69970703125,Oort
32,0.9928,0.027147866896924097,OORT,MNIST,10,0.5,530.7840728759766,Oort
33,0.9924,0.028730630675265274,OORT,MNIST,10,0.5,546.8684387207031,Oort
34,0.9918,0.031970677800135676,OORT,MNIST,10,0.5,562.9528045654297,Oort
35,0.9914,0.03054102419796891,OORT,MNIST,10,0.5,579.0371704101562,Oort
36,0.9923,0.029464327211095043,OORT,MNIST,10,0.5,595.1215362548828,Oort
37,0.9926,0.029511443080872415,OORT,MNIST,10,0.5,611.2059020996094,Oort
38,0.9928,0.02935027417488991,OORT,MNIST,10,0.5,627.2902679443359,Oort
39,0.9921,0.030476354335036378,OORT,MNIST,10,0.5,643.3746337890625,Oort
40,0.9932,0.02920648591820368,OORT,MNIST,10,0.5,659.4589996337891,Oort
41,0.9925,0.030858482747335984,OORT,MNIST,10,0.5,675.5433654785156,Oort
42,0.992,0.032987593808164545,OORT,MNIST,10,0.5,691.6277313232422,Oort
43,0.9918,0.032287175562651795,OORT,MNIST,10,0.5,707.7120971679688,Oort
44,0.993,0.028902721458680652,OORT,MNIST,10,0.5,723.7964630126953,Oort
45,0.9931,0.027830916644952595,OORT,MNIST,10,0.5,739.8808288574219,Oort
46,0.9924,0.029890741847088776,OORT,MNIST,10,0.5,755.9651947021484,Oort
47,0.993,0.030129115016782636,OORT,MNIST,10,0.5,772.049560546875,Oort
48,0.9921,0.03205383918693874,OORT,MNIST,10,0.5,788.1339263916016,Oort
49,0.9923,0.03191401333760914,OORT,MNIST,10,0.5,804.2182922363281,Oort
50,0.993,0.030345108279797774,OORT,MNIST,10,0.5,820.3026580810547,Oort
