round,accuracy,loss,strategy,dataset,num_clients,alpha,comm_cost_mb,Strategy,straggler_ratio
1,0.9259,0.39810844626426695,OORT,MNIST,50,0.5,160.84365844726562,Oort,0.24
2,0.9648,0.1099878217317164,OORT,MNIST,50,0.5,241.26548767089844,Oort,0.24
3,0.9713,0.08791811123173685,OORT,MNIST,50,0.5,321.68731689453125,Oort,0.24
4,0.9789,0.06753072719420307,OORT,MNIST,50,0.5,402.10914611816406,Oort,0.28
5,0.9797,0.05910878306515515,OORT,MNIST,50,0.5,482.5309753417969,Oort,0.32
6,0.982,0.055551717671379446,OORT,MNIST,50,0.5,562.9528045654297,Oort,0.24
7,0.9836,0.04792576560835587,OORT,MNIST,50,0.5,643.3746337890625,Oort,0.28
8,0.9853,0.04490049926689826,OORT,MNIST,50,0.5,723.7964630126953,Oort,0.32
9,0.9854,0.04339326648064889,OORT,MNIST,50,0.5,804.2182922363281,Oort,0.32
10,0.9864,0.04062138814080972,OORT,MNIST,50,0.5,884.6401214599609,Oort,0.24
11,0.9872,0.03976194456287776,OORT,MNIST,50,0.5,965.0619506835938,Oort,0.32
12,0.987,0.038540501826343825,OORT,MNIST,50,0.5,1045.4837799072266,Oort,0.28
13,0.9869,0.037809297471505125,OORT,MNIST,50,0.5,1125.9056091308594,Oort,0.24
14,0.9876,0.036766756450061805,OORT,MNIST,50,0.5,1206.3274383544922,Oort,0.2
15,0.9883,0.03584661162003176,OORT,MNIST,50,0.5,1286.749267578125,Oort,0.2
16,0.9881,0.03326749503720785,OORT,MNIST,50,0.5,1367.1710968017578,Oort,0.2
17,0.9887,0.03267037989407836,OORT,MNIST,50,0.5,1447.5929260253906,Oort,0.24
18,0.989,0.03197952035956551,OORT,MNIST,50,0.5,1528.0147552490234,Oort,0.24
19,0.9888,0.032429598989288204,OORT,MNIST,50,0.5,1608.4365844726562,Oort,0.24
20,0.989,0.032323947970112205,OORT,MNIST,50,0.5,1688.858413696289,Oort,0.16
21,0.9895,0.031149946869158885,OORT,MNIST,50,0.5,1769.2802429199219,Oort,0.2
22,0.9894,0.0320237690007838,OORT,MNIST,50,0.5,1849.7020721435547,Oort,0.2
23,0.9894,0.03097319457727135,OORT,MNIST,50,0.5,1930.1239013671875,Oort,0.2
24,0.99,0.03144902515846188,OORT,MNIST,50,0.5,2010.5457305908203,Oort,0.24
25,0.9908,0.02936230361938651,OORT,MNIST,50,0.5,2090.967559814453,Oort,0.24
26,0.9908,0.029601199810501567,OORT,MNIST,50,0.5,2171.389389038086,Oort,0.2
27,0.9906,0.029918227513934106,OORT,MNIST,50,0.5,2251.8112182617188,Oort,0.16
28,0.9907,0.02890596445047413,OORT,MNIST,50,0.5,2332.2330474853516,Oort,0.28
29,0.9909,0.028803957413716125,OORT,MNIST,50,0.5,2412.6548767089844,Oort,0.28
30,0.9907,0.029492331402936542,OORT,MNIST,50,0.5,2493.076705932617,Oort,0.24
31,0.9909,0.0289113728341581,OORT,MNIST,50,0.5,2573.49853515625,Oort,0.24
32,0.9908,0.03005226932216319,OORT,MNIST,50,0.5,2653.920364379883,Oort,0.24
33,0.9905,0.02942373179512797,OORT,MNIST,50,0.5,2734.3421936035156,Oort,0.28
34,0.9904,0.02899533026377321,OORT,MNIST,50,0.5,2814.7640228271484,Oort,0.24
35,0.9905,0.028471222364041024,OORT,MNIST,50,0.5,2895.1858520507812,Oort,0.24
36,0.9905,0.029138513321070786,OORT,MNIST,50,0.5,2975.607681274414,Oort,0.28
37,0.9911,0.028922381837304785,OORT,MNIST,50,0.5,3056.029510498047,Oort,0.24
38,0.9908,0.030518286368922964,OORT,MNIST,50,0.5,3136.4513397216797,Oort,0.28
39,0.991,0.029570732338416564,OORT,MNIST,50,0.5,3216.8731689453125,Oort,0.2
40,0.9908,0.02896141117635743,OORT,MNIST,50,0.5,3297.2949981689453,Oort,0.2
41,0.9906,0.029376323996845168,OORT,MNIST,50,0.5,3377.716827392578,Oort,0.24
42,0.991,0.029529495818057694,OORT,MNIST,50,0.5,3458.138656616211,Oort,0.2
43,0.9912,0.02944010096685979,OORT,MNIST,50,0.5,3538.5604858398438,Oort,0.24
44,0.9907,0.02960092017961797,OORT,MNIST,50,0.5,3618.9823150634766,Oort,0.16
45,0.991,0.029384558143219875,OORT,MNIST,50,0.5,3699.4041442871094,Oort,0.2
46,0.9911,0.030227612842388226,OORT,MNIST,50,0.5,3779.825973510742,Oort,0.28
47,0.9912,0.02876293201176959,OORT,MNIST,50,0.5,3860.247802734375,Oort,0.24
48,0.9908,0.02989567347899174,OORT,MNIST,50,0.5,3940.669631958008,Oort,0.28
49,0.9908,0.029544606768343876,OORT,MNIST,50,0.5,4021.0914611816406,Oort,0.24
50,0.9916,0.028898793774422848,OORT,MNIST,50,0.5,4101.513290405273,Oort,0.28
