round,accuracy,loss,strategy,dataset,num_clients,alpha,comm_cost_mb,Strategy,stragger_ratio
0,0.0986,2.3035187786102296,OORT,MNIST,10,iid,16.084365844726562,Oort,0.2
1,0.9817,0.05417599552022293,OORT,MNIST,10,iid,32.168731689453125,Oort,0.2
2,0.9884,0.03532677449081093,OORT,MNIST,10,iid,48.25309753417969,Oort,0.2
3,0.9901,0.03145809961096384,OORT,MNIST,10,iid,64.33746337890625,Oort,0.2
4,0.9913,0.027837455818784655,OORT,MNIST,10,iid,80.42182922363281,Oort,0.2
5,0.9907,0.027884309420768114,OORT,MNIST,10,iid,96.50619506835938,Oort,0.6
6,0.9918,0.026131514213943594,OORT,MNIST,10,iid,112.59056091308594,Oort,0.6
7,0.9927,0.024789156476271456,OORT,MNIST,10,iid,128.6749267578125,Oort,0.4
8,0.9931,0.02470513073220427,OORT,MNIST,10,iid,144.75929260253906,Oort,0.4
9,0.993,0.02327391534321723,OORT,MNIST,10,iid,160.84365844726562,Oort,0.2
10,0.9936,0.02453858297442712,OORT,MNIST,10,iid,176.9280242919922,Oort,0.4
11,0.9932,0.024484758658974714,OORT,MNIST,10,iid,193.01239013671875,Oort,0.6
12,0.9937,0.023898063758889476,OORT,MNIST,10,iid,209.0967559814453,Oort,0.6
13,0.9929,0.02506127699687022,OORT,MNIST,10,iid,225.18112182617188,Oort,0.6
14,0.9928,0.024204185765288277,OORT,MNIST,10,iid,241.26548767089844,Oort,0.4
15,0.9941,0.022086712729404826,OORT,MNIST,10,iid,257.349853515625,Oort,0.2
16,0.9935,0.02398438865377484,OORT,MNIST,10,iid,273.43421936035156,Oort,0.4
17,0.9932,0.025692581446291343,OORT,MNIST,10,iid,289.5185852050781,Oort,0.4
18,0.9935,0.02529792732494484,OORT,MNIST,10,iid,305.6029510498047,Oort,0.4
19,0.994,0.023916795477824507,OORT,MNIST,10,iid,321.68731689453125,Oort,0.4
20,0.9945,0.022695001979397056,OORT,MNIST,10,iid,337.7716827392578,Oort,0.4
21,0.9942,0.02441588469431422,OORT,MNIST,10,iid,353.8560485839844,Oort,0.2
22,0.9942,0.023115566763816514,OORT,MNIST,10,iid,369.94041442871094,Oort,0.6
23,0.9944,0.02297629331029784,OORT,MNIST,10,iid,386.0247802734375,Oort,0.6
24,0.9946,0.023703860368202673,OORT,MNIST,10,iid,402.10914611816406,Oort,0.6
25,0.994,0.02583523857987402,OORT,MNIST,10,iid,418.1935119628906,Oort,0.4
26,0.9938,0.02424801866689022,OORT,MNIST,10,iid,434.2778778076172,Oort,0.6
27,0.9938,0.024714527819448613,OORT,MNIST,10,iid,450.36224365234375,Oort,0.4
28,0.9948,0.024450138465710414,OORT,MNIST,10,iid,466.4466094970703,Oort,0.2
29,0.9945,0.026328641493073335,OORT,MNIST,10,iid,482.5309753417969,Oort,0.4
30,0.9945,0.025441130249326944,OORT,MNIST,10,iid,498.61534118652344,Oort,0.4
31,0.9944,0.025401188944346724,OORT,MNIST,10,iid,514.69970703125,Oort,0.2
32,0.9941,0.0267038379947664,OORT,MNIST,10,iid,530.7840728759766,Oort,0.2
33,0.9943,0.025720397335990675,OORT,MNIST,10,iid,546.8684387207031,Oort,0.4
34,0.9944,0.02614859335219635,OORT,MNIST,10,iid,562.9528045654297,Oort,0.4
35,0.9943,0.026758049686097365,OORT,MNIST,10,iid,579.0371704101562,Oort,0.2
36,0.9941,0.026609482913360627,OORT,MNIST,10,iid,595.1215362548828,Oort,0.4
37,0.9941,0.027328813369648198,OORT,MNIST,10,iid,611.2059020996094,Oort,0.2
38,0.9944,0.02748489819435158,OORT,MNIST,10,iid,627.2902679443359,Oort,0.2
39,0.9937,0.02688481590004244,OORT,MNIST,10,iid,643.3746337890625,Oort,0.4
40,0.9941,0.028441105850714847,OORT,MNIST,10,iid,659.4589996337891,Oort,0.2
41,0.9933,0.0298151756291923,OORT,MNIST,10,iid,675.5433654785156,Oort,0.4
42,0.994,0.028484254204159287,OORT,MNIST,10,iid,691.6277313232422,Oort,0.4
43,0.9942,0.0288544410303914,OORT,MNIST,10,iid,707.7120971679688,Oort,0.4
44,0.9943,0.028690248587676888,OORT,MNIST,10,iid,723.7964630126953,Oort,0.4
45,0.9938,0.028007790903878026,OORT,MNIST,10,iid,739.8808288574219,Oort,0.2
46,0.9941,0.02925331800208803,OORT,MNIST,10,iid,755.9651947021484,Oort,0.4
47,0.9936,0.0294429214961403,OORT,MNIST,10,iid,772.049560546875,Oort,0.4
48,0.9941,0.02991922213093851,OORT,MNIST,10,iid,788.1339263916016,Oort,0.4
49,0.9941,0.029205386649324636,OORT,MNIST,10,iid,804.2182922363281,Oort,0.2
50,0.9935,0.031179019653703927,OORT,MNIST,10,iid,820.3026580810547,Oort,0.4
