Round,Test Accuracy,Test Loss,Comm Cost (MB),Elapsed (s),Round Time (s),Straggler Ratio,Participation Rate,Train Loss,Train Accuracy
1.0,0.1396,6.308883,204.237747,8605.635723,86.056335,0.0,0.5,0.501302,0.778611
2.0,0.1027,3.215379,204.237747,8605.635746,86.056335,0.0,0.5,0.306165,0.873322
3.0,0.1945,2.266094,204.237747,8605.635749,86.056335,0.0,0.5,0.180015,0.938378
4.0,0.1632,3.322619,204.237747,8605.635752,86.056335,0.0,0.5,0.154851,0.945108
5.0,0.2975,2.164665,204.237747,8605.635755,86.056335,0.0,0.5,0.137381,0.955146
6.0,0.2908,2.109479,204.237747,8605.635758,86.056335,0.0,0.5,0.112974,0.963402
7.0,0.3128,2.421612,204.237747,8605.635761,86.056335,0.0,0.5,0.124964,0.9562
8.0,0.225,3.074824,204.237747,8605.635763,86.056335,0.0,0.5,0.086157,0.970853
9.0,0.2823,2.075203,204.237747,8605.635767,86.056335,0.0,0.5,0.077166,0.976428
10.0,0.2484,3.134169,204.237747,8605.635771,86.056335,0.0,0.5,0.042506,0.986688
11.0,0.3539,2.155174,204.237747,8605.635774,86.056335,0.0,0.5,0.043547,0.987208
12.0,0.2603,2.870386,204.237747,8605.635777,86.056335,0.0,0.5,0.04956,0.986887
13.0,0.2594,3.882031,204.237747,8605.635781,86.056335,0.0,0.5,0.019721,0.993946
14.0,0.3193,3.317126,204.237747,8605.635785,86.056335,0.0,0.5,0.055435,0.983704
15.0,0.3892,2.099745,204.237747,8605.635788,86.056335,0.0,0.5,0.042305,0.987709
16.0,0.2928,2.696763,204.237747,8605.635792,86.056335,0.0,0.5,0.031351,0.990203
17.0,0.4075,1.872,204.237747,8605.635797,86.056335,0.0,0.5,0.030463,0.990974
18.0,0.2935,3.663591,204.237747,8605.635803,86.056335,0.0,0.5,0.020912,0.994618
19.0,0.4451,1.939828,204.237747,8605.635807,86.056335,0.0,0.5,0.017118,0.995371
20.0,0.4232,1.950586,204.237747,8605.635811,86.056335,0.0,0.5,0.024804,0.992491
21.0,0.3153,3.658481,204.237747,8605.635815,86.056335,0.0,0.5,0.012039,0.997208
22.0,0.4359,1.993921,204.237747,8605.63582,86.056335,0.0,0.5,0.029322,0.992052
23.0,0.4372,2.35767,204.237747,8605.635824,86.056335,0.0,0.5,0.013162,0.996383
24.0,0.3264,3.499214,204.237747,8605.635829,86.056335,0.0,0.5,0.01233,0.996719
25.0,0.4556,1.963456,204.237747,8605.635834,86.056335,0.0,0.5,0.015992,0.995614
26.0,0.4165,2.606359,204.237747,8605.635839,86.056335,0.0,0.5,0.008059,0.998056
27.0,0.4703,2.120019,204.237747,8605.635844,86.056335,0.0,0.5,0.011347,0.996716
28.0,0.3723,3.328216,204.237747,8605.635849,86.056335,0.0,0.5,0.016924,0.995674
29.0,0.3668,3.233393,204.237747,8605.635854,86.056335,0.0,0.5,0.009777,0.997084
30.0,0.4232,2.700962,204.237747,8605.635859,86.056335,0.0,0.5,0.009224,0.997675
31.0,0.3558,3.917526,204.237747,8605.635864,86.056335,0.0,0.5,0.01628,0.995291
32.0,0.3003,3.360339,204.237747,8605.635869,86.056335,0.0,0.5,0.035442,0.989058
33.0,0.4726,1.965944,204.237747,8605.635876,86.056335,0.0,0.5,0.016712,0.994985
34.0,0.3257,4.345964,204.237747,8605.635882,86.056335,0.0,0.5,0.018389,0.994615
35.0,0.3227,4.36461,204.237747,8605.635887,86.056335,0.0,0.5,0.022801,0.993824
36.0,0.4473,1.967779,204.237747,8605.635893,86.056335,0.0,0.5,0.015596,0.995831
37.0,0.3789,2.985521,204.237747,8605.635899,86.056335,0.0,0.5,0.0075,0.998254
38.0,0.4167,2.884642,204.237747,8605.635905,86.056335,0.0,0.5,0.007489,0.998249
39.0,0.4537,2.564758,204.237747,8605.635911,86.056335,0.0,0.5,0.006886,0.998138
40.0,0.4585,2.297194,204.237747,8605.635917,86.056335,0.0,0.5,0.011141,0.997216
41.0,0.4854,2.23919,204.237747,8605.635923,86.056335,0.0,0.5,0.005495,0.998578
42.0,0.4168,3.164223,204.237747,8605.635931,86.056335,0.0,0.5,0.011165,0.997486
43.0,0.4679,2.415316,204.237747,8605.635937,86.056335,0.0,0.5,0.008182,0.998017
44.0,0.4666,2.588125,204.237747,8605.635944,86.056335,0.0,0.5,0.006043,0.998634
45.0,0.4735,2.591876,204.237747,8605.63595,86.056335,0.0,0.5,0.013722,0.99744
46.0,0.4171,3.234055,204.237747,8605.635957,86.056335,0.0,0.5,0.015898,0.995975
47.0,0.4761,2.471934,204.237747,8605.635964,86.056335,0.0,0.5,0.004369,0.999071
48.0,0.4222,3.71309,204.237747,8605.635971,86.056335,0.0,0.5,0.008257,0.99807
49.0,0.3801,4.403627,204.237747,8605.635978,86.056335,0.0,0.5,0.005641,0.99872
50.0,0.5099,2.330783,204.237747,8605.635985,86.056335,0.0,0.5,0.004206,0.999042
51.0,0.4766,2.85026,204.237747,8605.635992,86.056335,0.0,0.5,0.005378,0.998843
52.0,0.3969,3.956818,204.237747,8605.636,86.056335,0.0,0.5,0.00427,0.999255
53.0,0.4546,3.154133,204.237747,8605.636009,86.056335,0.0,0.5,0.014428,0.997284
54.0,0.4972,2.579195,204.237747,8605.636023,86.056335,0.0,0.5,0.003886,0.999241
55.0,0.5131,2.544358,204.237747,8605.63603,86.056335,0.0,0.5,0.005784,0.998754
56.0,0.416,4.132597,204.237747,8605.636038,86.056335,0.0,0.5,0.009872,0.998409
57.0,0.4485,2.916514,204.237747,8605.636046,86.056335,0.0,0.5,0.014789,0.995935
58.0,0.4382,3.127673,204.237747,8605.636054,86.056335,0.0,0.5,0.006095,0.998809
59.0,0.5201,2.374954,204.237747,8605.636062,86.056335,0.0,0.5,0.004388,0.999067
60.0,0.3944,4.153953,204.237747,8605.63607,86.056335,0.0,0.5,0.006162,0.998855
61.0,0.4986,2.740992,204.237747,8605.636078,86.056335,0.0,0.5,0.005909,0.998973
62.0,0.4798,3.083548,204.237747,8605.636086,86.056335,0.0,0.5,0.005925,0.99878
63.0,0.4879,2.880015,204.237747,8605.636095,86.056335,0.0,0.5,0.004993,0.999132
64.0,0.5215,2.653511,204.237747,8605.636103,86.056335,0.0,0.5,0.009483,0.998496
65.0,0.502,2.999596,204.237747,8605.636114,86.056335,0.0,0.5,0.004292,0.999045
66.0,0.378,5.000102,204.237747,8605.636125,86.056335,0.0,0.5,0.008395,0.99866
67.0,0.4677,3.576153,204.237747,8605.636134,86.056335,0.0,0.5,0.008572,0.998409
68.0,0.4996,2.999059,204.237747,8605.636143,86.056335,0.0,0.5,0.005239,0.999062
69.0,0.507,2.882653,204.237747,8605.636152,86.056335,0.0,0.5,0.011162,0.99832
70.0,0.4549,3.686805,204.237747,8605.636161,86.056335,0.0,0.5,0.004108,0.999291
71.0,0.5052,3.058941,204.237747,8605.63617,86.056335,0.0,0.5,0.004696,0.999089
72.0,0.5234,2.664209,204.237747,8605.636179,86.056335,0.0,0.5,0.003505,0.998957
73.0,0.5222,2.809129,204.237747,8605.636189,86.056335,0.0,0.5,0.002758,0.999493
74.0,0.4714,3.819636,204.237747,8605.636199,86.056335,0.0,0.5,0.00439,0.999302
75.0,0.5324,2.8759,204.237747,8605.636209,86.056335,0.0,0.5,0.00364,0.999439
76.0,0.4883,3.418112,204.237747,8605.636218,86.056335,0.0,0.5,0.007882,0.998644
77.0,0.5181,3.126712,204.237747,8605.63623,86.056335,0.0,0.5,0.006253,0.999061
78.0,0.5232,3.109635,204.237747,8605.636242,86.056335,0.0,0.5,0.006223,0.999162
79.0,0.509,3.060373,204.237747,8605.636252,86.056335,0.0,0.5,0.004602,0.999137
80.0,0.4715,3.786846,204.237747,8605.636262,86.056335,0.0,0.5,0.008451,0.998514
81.0,0.4977,3.400464,204.237747,8605.636273,86.056335,0.0,0.5,0.006978,0.999068
82.0,0.4541,4.378239,204.237747,8605.636283,86.056335,0.0,0.5,0.003699,0.999382
83.0,0.5325,3.017101,204.237747,8605.636294,86.056335,0.0,0.5,0.005536,0.999174
84.0,0.5214,3.173124,204.237747,8605.636304,86.056335,0.0,0.5,0.004434,0.999089
85.0,0.5079,3.388138,204.237747,8605.636315,86.056335,0.0,0.5,0.005187,0.999283
86.0,0.5057,3.490703,204.237747,8605.636326,86.056335,0.0,0.5,0.003384,0.99941
87.0,0.4537,4.30777,204.237747,8605.636337,86.056335,0.0,0.5,0.007373,0.998803
88.0,0.4642,4.160631,204.237747,8605.636351,86.056335,0.0,0.5,0.003802,0.999203
89.0,0.5186,2.942082,204.237747,8605.636362,86.056335,0.0,0.5,0.005763,0.998463
90.0,0.4873,3.435628,204.237747,8605.636373,86.056335,0.0,0.5,0.005856,0.998907
91.0,0.5358,2.805647,204.237747,8605.636384,86.056335,0.0,0.5,0.00225,0.999532
92.0,0.5294,3.056601,204.237747,8605.636396,86.056335,0.0,0.5,0.004089,0.999456
93.0,0.5011,3.558229,204.237747,8605.636409,86.056335,0.0,0.5,0.006415,0.999039
