Round,Test Accuracy,Test Loss,Comm Cost (MB),Elapsed (s),Round Time (s),Straggler Ratio,Participation Rate,Train Loss,Train Accuracy
1.0,0.3877,1.798788,204.237747,14695.044074,146.950408,0.0,0.5,2.048487,0.243736
2.0,0.4667,1.477635,204.237747,14695.04458,146.950408,0.0,0.5,1.553794,0.443328
3.0,0.5071,1.365636,204.237747,14695.044584,146.950408,0.0,0.5,1.217333,0.567008
4.0,0.5446,1.290917,204.237747,14695.044587,146.950408,0.0,0.5,0.983674,0.652736
5.0,0.5676,1.256165,204.237747,14695.044591,146.950408,0.0,0.5,0.798989,0.722312
6.0,0.5858,1.218816,204.237747,14695.044595,146.950408,0.0,0.5,0.663787,0.770992
7.0,0.5967,1.200806,204.237747,14695.044598,146.950408,0.0,0.5,0.579289,0.799856
8.0,0.6101,1.181851,204.237747,14695.044601,146.950408,0.0,0.5,0.510907,0.82344
9.0,0.614,1.1909,204.237747,14695.044605,146.950408,0.0,0.5,0.432141,0.852064
10.0,0.6203,1.167963,204.237747,14695.044609,146.950408,0.0,0.5,0.412666,0.859112
11.0,0.6285,1.152029,204.237747,14695.044612,146.950408,0.0,0.5,0.376683,0.871
12.0,0.6324,1.148763,204.237747,14695.044616,146.950408,0.0,0.5,0.345185,0.881896
13.0,0.6334,1.138783,204.237747,14695.04462,146.950408,0.0,0.5,0.346343,0.881712
14.0,0.6358,1.151076,204.237747,14695.044624,146.950408,0.0,0.5,0.287704,0.902232
15.0,0.6338,1.162931,204.237747,14695.044627,146.950408,0.0,0.5,0.279024,0.906208
16.0,0.6403,1.141893,204.237747,14695.044631,146.950408,0.0,0.5,0.266711,0.90884
17.0,0.6389,1.144718,204.237747,14695.044635,146.950408,0.0,0.5,0.234982,0.92072
18.0,0.6407,1.149384,204.237747,14695.044639,146.950408,0.0,0.5,0.222586,0.92592
19.0,0.6445,1.157347,204.237747,14695.044643,146.950408,0.0,0.5,0.206287,0.93032
20.0,0.647,1.160246,204.237747,14695.044648,146.950408,0.0,0.5,0.19285,0.936752
21.0,0.6518,1.164633,204.237747,14695.044652,146.950408,0.0,0.5,0.186213,0.939008
22.0,0.651,1.149249,204.237747,14695.044657,146.950408,0.0,0.5,0.17443,0.943168
23.0,0.6509,1.175451,204.237747,14695.044662,146.950408,0.0,0.5,0.162102,0.9478
24.0,0.6578,1.139927,204.237747,14695.044666,146.950408,0.0,0.5,0.173868,0.943808
25.0,0.6547,1.199993,204.237747,14695.044671,146.950408,0.0,0.5,0.133258,0.9576
26.0,0.657,1.183449,204.237747,14695.044676,146.950408,0.0,0.5,0.147043,0.952512
27.0,0.6574,1.211483,204.237747,14695.044681,146.950408,0.0,0.5,0.120808,0.962456
28.0,0.658,1.26009,204.237747,14695.044686,146.950408,0.0,0.5,0.0977,0.96976
29.0,0.6576,1.232634,204.237747,14695.044691,146.950408,0.0,0.5,0.117915,0.962416
30.0,0.6575,1.237566,204.237747,14695.044697,146.950408,0.0,0.5,0.120029,0.96292
31.0,0.6606,1.293598,204.237747,14695.044702,146.950408,0.0,0.5,0.092306,0.97184
32.0,0.6574,1.251558,204.237747,14695.044708,146.950408,0.0,0.5,0.103492,0.968648
33.0,0.6609,1.286347,204.237747,14695.044718,146.950408,0.0,0.5,0.094664,0.971032
34.0,0.6598,1.345734,204.237747,14695.044724,146.950408,0.0,0.5,0.071303,0.979464
35.0,0.6625,1.297969,204.237747,14695.04473,146.950408,0.0,0.5,0.096671,0.9706
36.0,0.6654,1.325759,204.237747,14695.044736,146.950408,0.0,0.5,0.076797,0.976976
37.0,0.6677,1.343469,204.237747,14695.044742,146.950408,0.0,0.5,0.067452,0.980344
38.0,0.6676,1.333421,204.237747,14695.044748,146.950408,0.0,0.5,0.071523,0.978032
39.0,0.6678,1.391833,204.237747,14695.044754,146.950408,0.0,0.5,0.051804,0.984576
40.0,0.6672,1.415414,204.237747,14695.04476,146.950408,0.0,0.5,0.046677,0.986672
41.0,0.6664,1.383145,204.237747,14695.044768,146.950408,0.0,0.5,0.069032,0.978928
42.0,0.6688,1.427689,204.237747,14695.044775,146.950408,0.0,0.5,0.049814,0.986064
43.0,0.6685,1.470876,204.237747,14695.044782,146.950408,0.0,0.5,0.041009,0.988528
44.0,0.6685,1.440088,204.237747,14695.044789,146.950408,0.0,0.5,0.053054,0.98448
45.0,0.6689,1.473707,204.237747,14695.044796,146.950408,0.0,0.5,0.038388,0.98944
46.0,0.6701,1.518125,204.237747,14695.044802,146.950408,0.0,0.5,0.030559,0.991488
47.0,0.6708,1.463107,204.237747,14695.044809,146.950408,0.0,0.5,0.04861,0.985576
48.0,0.6725,1.562519,204.237747,14695.044817,146.950408,0.0,0.5,0.021821,0.994616
49.0,0.6687,1.517735,204.237747,14695.044824,146.950408,0.0,0.5,0.042428,0.987616
50.0,0.6696,1.533326,204.237747,14695.044831,146.950408,0.0,0.5,0.029996,0.99164
51.0,0.6717,1.536231,204.237747,14695.044839,146.950408,0.0,0.5,0.026774,0.992848
52.0,0.6703,1.581438,204.237747,14695.044846,146.950408,0.0,0.5,0.025339,0.993312
53.0,0.677,1.661526,204.237747,14695.044854,146.950408,0.0,0.5,0.013601,0.99688
54.0,0.6703,1.543492,204.237747,14695.044863,146.950408,0.0,0.5,0.033614,0.990592
55.0,0.6725,1.577741,204.237747,14695.044871,146.950408,0.0,0.5,0.02371,0.994168
56.0,0.6711,1.61468,204.237747,14695.044879,146.950408,0.0,0.5,0.018701,0.995264
57.0,0.6727,1.631507,204.237747,14695.044886,146.950408,0.0,0.5,0.019124,0.99504
58.0,0.6737,1.690693,204.237747,14695.044894,146.950408,0.0,0.5,0.011654,0.99736
59.0,0.6737,1.712696,204.237747,14695.044903,146.950408,0.0,0.5,0.008124,0.998352
60.0,0.6728,1.691702,204.237747,14695.044911,146.950408,0.0,0.5,0.013664,0.996312
61.0,0.6742,1.757283,204.237747,14695.044919,146.950408,0.0,0.5,0.006585,0.998744
62.0,0.6751,1.784901,204.237747,14695.044927,146.950408,0.0,0.5,0.008372,0.99824
63.0,0.6743,1.79338,204.237747,14695.044936,146.950408,0.0,0.5,0.007078,0.99856
64.0,0.6748,1.85034,204.237747,14695.044945,146.950408,0.0,0.5,0.002867,0.999808
65.0,0.6718,1.828541,204.237747,14695.044955,146.950408,0.0,0.5,0.009137,0.998
66.0,0.6745,1.862224,204.237747,14695.044966,146.950408,0.0,0.5,0.003802,0.999336
67.0,0.6763,1.888338,204.237747,14695.044975,146.950408,0.0,0.5,0.003156,0.999624
68.0,0.6757,1.909093,204.237747,14695.044984,146.950408,0.0,0.5,0.004347,0.99936
69.0,0.6763,1.938031,204.237747,14695.044993,146.950408,0.0,0.5,0.002122,0.999848
70.0,0.6751,1.892403,204.237747,14695.045002,146.950408,0.0,0.5,0.010893,0.997576
71.0,0.6752,1.935095,204.237747,14695.045012,146.950408,0.0,0.5,0.002041,0.999872
72.0,0.6763,1.960288,204.237747,14695.045021,146.950408,0.0,0.5,0.001639,0.999904
73.0,0.6756,1.985331,204.237747,14695.045031,146.950408,0.0,0.5,0.001487,0.999968
74.0,0.6756,2.006247,204.237747,14695.04504,146.950408,0.0,0.5,0.001457,0.99996
75.0,0.6758,2.015329,204.237747,14695.04505,146.950408,0.0,0.5,0.001492,0.999968
76.0,0.677,2.039951,204.237747,14695.04506,146.950408,0.0,0.5,0.001034,1.0
77.0,0.6765,2.05746,204.237747,14695.045071,146.950408,0.0,0.5,0.001,0.999992
78.0,0.6768,2.064656,204.237747,14695.045083,146.950408,0.0,0.5,0.001099,0.999976
79.0,0.677,2.086308,204.237747,14695.045093,146.950408,0.0,0.5,0.00089,0.999992
80.0,0.6758,2.091596,204.237747,14695.045103,146.950408,0.0,0.5,0.00099,0.999984
81.0,0.6747,2.100097,204.237747,14695.045113,146.950408,0.0,0.5,0.000958,0.999992
82.0,0.6774,2.117054,204.237747,14695.045124,146.950408,0.0,0.5,0.000729,1.0
83.0,0.6752,2.117967,204.237747,14695.045134,146.950408,0.0,0.5,0.000989,0.999976
84.0,0.6764,2.129078,204.237747,14695.045145,146.950408,0.0,0.5,0.000809,1.0
85.0,0.6761,2.13855,204.237747,14695.045156,146.950408,0.0,0.5,0.000787,0.999984
86.0,0.6756,2.146133,204.237747,14695.045167,146.950408,0.0,0.5,0.000864,0.999952
87.0,0.6759,2.155228,204.237747,14695.045179,146.950408,0.0,0.5,0.000737,0.999992
88.0,0.676,2.162267,204.237747,14695.045189,146.950408,0.0,0.5,0.000724,1.0
89.0,0.6769,2.174535,204.237747,14695.045201,146.950408,0.0,0.5,0.000583,1.0
90.0,0.6766,2.184708,204.237747,14695.045212,146.950408,0.0,0.5,0.000622,1.0
91.0,0.6754,2.192048,204.237747,14695.045223,146.950408,0.0,0.5,0.000678,0.999992
92.0,0.6764,2.200844,204.237747,14695.045235,146.950408,0.0,0.5,0.000719,0.99996
93.0,0.6762,2.203073,204.237747,14695.045248,146.950408,0.0,0.5,0.000697,0.999984
94.0,0.676,2.216328,204.237747,14695.045261,146.950408,0.0,0.5,0.000514,1.0
95.0,0.6767,2.219402,204.237747,14695.045273,146.950408,0.0,0.5,0.000614,0.999992
96.0,0.6766,2.227396,204.237747,14695.045285,146.950408,0.0,0.5,0.000586,0.999992
97.0,0.6746,2.230562,204.237747,14695.045296,146.950408,0.0,0.5,0.000574,0.999992
98.0,0.6768,2.241662,204.237747,14695.045309,146.950408,0.0,0.5,0.000436,1.0
99.0,0.6769,2.247001,204.237747,14695.045321,146.950408,0.0,0.5,0.000451,1.0
100.0,0.6759,2.254663,204.237747,14695.045333,146.950408,0.0,0.5,0.000443,1.0
