final_accuracy,final_loss,convergence_round,total_comm_mb,avg_round_time,avg_straggler,run,dataset,num_clients,num_rounds,alpha,fraction,straggler_prob,run_dir
0.8755,1.425302,25.0,4082.5577,79.3935,0.0,fedavg_mnist_n10_a0p01_f0p5_s0p0,mnist,10,100,0.01,0.5,0.0,results/fedavg_mnist_n10_a0p01_f0p5_s0p0
0.5997,5.132761,,4082.5577,69.8066,0.0,fedavg_mnist_n10_a0p01_f0p5_s0p2,mnist,10,100,0.01,0.5,0.2,results/fedavg_mnist_n10_a0p01_f0p5_s0p2
0.4964,9.002078,,4082.5577,82.3387,0.0,fedavg_mnist_n10_a0p01_f0p5_s0p4,mnist,10,100,0.01,0.5,0.4,results/fedavg_mnist_n10_a0p01_f0p5_s0p4
0.9887,0.055372,2.0,4082.5577,97.205,0.0,fedavg_mnist_n10_a0p1_f0p5_s0p0,mnist,10,100,0.1,0.5,0.0,results/fedavg_mnist_n10_a0p1_f0p5_s0p0
0.9772,0.132692,4.0,4082.5577,102.1553,0.0,fedavg_mnist_n10_a0p1_f0p5_s0p2,mnist,10,100,0.1,0.5,0.2,results/fedavg_mnist_n10_a0p1_f0p5_s0p2
0.9877,0.063368,4.0,4082.5577,78.1534,0.0,fedavg_mnist_n10_a0p1_f0p5_s0p4,mnist,10,100,0.1,0.5,0.4,results/fedavg_mnist_n10_a0p1_f0p5_s0p4
0.9888,0.06539,1.0,4082.5577,64.9686,0.0,fedavg_mnist_n10_a0p5_f0p5_s0p0,mnist,10,100,0.5,0.5,0.0,results/fedavg_mnist_n10_a0p5_f0p5_s0p0
0.9868,0.076834,1.0,4082.5577,75.652,0.0,fedavg_mnist_n10_a0p5_f0p5_s0p2,mnist,10,100,0.5,0.5,0.2,results/fedavg_mnist_n10_a0p5_f0p5_s0p2
0.9905,0.055244,1.0,4082.5577,67.7573,0.0,fedavg_mnist_n10_a0p5_f0p5_s0p4,mnist,10,100,0.5,0.5,0.4,results/fedavg_mnist_n10_a0p5_f0p5_s0p4
0.9914,0.045734,1.0,4082.5577,58.3058,0.0,fedavg_mnist_n10_a1p0_f0p5_s0p0,mnist,10,100,1.0,0.5,0.0,results/fedavg_mnist_n10_a1p0_f0p5_s0p0
0.9905,0.049813,1.0,4082.5577,59.3069,0.0,fedavg_mnist_n10_a1p0_f0p5_s0p2,mnist,10,100,1.0,0.5,0.2,results/fedavg_mnist_n10_a1p0_f0p5_s0p2
0.9903,0.054711,1.0,4082.5577,58.5128,0.0,fedavg_mnist_n10_a1p0_f0p5_s0p4,mnist,10,100,1.0,0.5,0.4,results/fedavg_mnist_n10_a1p0_f0p5_s0p4
0.9906,0.054805,1.0,4082.5577,53.9054,0.0,fedavg_mnist_n10_aiid_f0p5_s0p0,mnist,10,100,iid,0.5,0.0,results/fedavg_mnist_n10_aiid_f0p5_s0p0
0.9915,0.049852,1.0,4082.5577,53.384,0.0,fedavg_mnist_n10_aiid_f0p5_s0p2,mnist,10,100,iid,0.5,0.2,results/fedavg_mnist_n10_aiid_f0p5_s0p2
0.9919,0.042025,1.0,4082.5577,53.6208,0.0,fedavg_mnist_n10_aiid_f0p5_s0p4,mnist,10,100,iid,0.5,0.4,results/fedavg_mnist_n10_aiid_f0p5_s0p4
0.7852,1.502219,74.0,20412.7884,57.987,0.0,fedavg_mnist_n50_a0p01_f0p5_s0p0,mnist,50,100,0.01,0.5,0.0,results/fedavg_mnist_n50_a0p01_f0p5_s0p0
0.6689,1.52723,,20412.7884,50.7016,0.0,fedavg_mnist_n50_a0p01_f0p5_s0p2,mnist,50,100,0.01,0.5,0.2,results/fedavg_mnist_n50_a0p01_f0p5_s0p2
0.685,3.875538,,20412.7884,60.9437,0.0,fedavg_mnist_n50_a0p01_f0p5_s0p4,mnist,50,100,0.01,0.5,0.4,results/fedavg_mnist_n50_a0p01_f0p5_s0p4
0.9842,0.068983,3.0,20412.7884,39.042,0.0,fedavg_mnist_n50_a0p1_f0p5_s0p0,mnist,50,100,0.1,0.5,0.0,results/fedavg_mnist_n50_a0p1_f0p5_s0p0
0.9841,0.070061,2.0,20412.7884,39.5032,0.0,fedavg_mnist_n50_a0p1_f0p5_s0p2,mnist,50,100,0.1,0.5,0.2,results/fedavg_mnist_n50_a0p1_f0p5_s0p2
0.9854,0.059283,4.0,20412.7884,40.6586,0.0,fedavg_mnist_n50_a0p1_f0p5_s0p4,mnist,50,100,0.1,0.5,0.4,results/fedavg_mnist_n50_a0p1_f0p5_s0p4
0.9893,0.046728,1.0,20412.7884,35.1597,0.0,fedavg_mnist_n50_a0p5_f0p5_s0p0,mnist,50,100,0.5,0.5,0.0,results/fedavg_mnist_n50_a0p5_f0p5_s0p0
0.9894,0.046267,1.0,20412.7884,33.8945,0.0,fedavg_mnist_n50_a0p5_f0p5_s0p2,mnist,50,100,0.5,0.5,0.2,results/fedavg_mnist_n50_a0p5_f0p5_s0p2
0.9896,0.048601,1.0,20412.7884,33.692,0.0,fedavg_mnist_n50_a0p5_f0p5_s0p4,mnist,50,100,0.5,0.5,0.4,results/fedavg_mnist_n50_a0p5_f0p5_s0p4
0.9907,0.037848,1.0,20412.7884,34.3121,0.0,fedavg_mnist_n50_a1p0_f0p5_s0p0,mnist,50,100,1.0,0.5,0.0,results/fedavg_mnist_n50_a1p0_f0p5_s0p0
0.9886,0.046879,1.0,20412.7884,32.9223,0.0,fedavg_mnist_n50_a1p0_f0p5_s0p2,mnist,50,100,1.0,0.5,0.2,results/fedavg_mnist_n50_a1p0_f0p5_s0p2
0.9893,0.044669,1.0,20412.7884,33.7826,0.0,fedavg_mnist_n50_a1p0_f0p5_s0p4,mnist,50,100,1.0,0.5,0.4,results/fedavg_mnist_n50_a1p0_f0p5_s0p4
