Round,Test Accuracy,Test Loss,Comm Cost (MB),Elapsed (s),Round Time (s),Straggler Ratio,Participation Rate,Train Loss,Train Accuracy
1.0,0.9249,0.317828,40.825577,7565.204516,75.652004,0.0,0.5,0.197767,0.938822
2.0,0.9665,0.103689,40.825577,7565.204548,75.652004,0.0,0.5,0.04867,0.984615
3.0,0.9778,0.071238,40.825577,7565.204551,75.652004,0.0,0.5,0.022294,0.992839
4.0,0.9748,0.081246,40.825577,7565.204553,75.652004,0.0,0.5,0.012264,0.996095
5.0,0.9756,0.083492,40.825577,7565.204556,75.652004,0.0,0.5,0.00864,0.997297
6.0,0.9808,0.064691,40.825577,7565.204559,75.652004,0.0,0.5,0.005718,0.998232
7.0,0.981,0.069672,40.825577,7565.204561,75.652004,0.0,0.5,0.004735,0.998595
8.0,0.9784,0.084185,40.825577,7565.204564,75.652004,0.0,0.5,0.00176,0.999541
9.0,0.9768,0.080086,40.825577,7565.204566,75.652004,0.0,0.5,0.003778,0.998838
10.0,0.9762,0.101111,40.825577,7565.20457,75.652004,0.0,0.5,0.001907,0.999491
11.0,0.9839,0.057889,40.825577,7565.204573,75.652004,0.0,0.5,0.00509,0.998319
12.0,0.978,0.091599,40.825577,7565.204576,75.652004,0.0,0.5,0.0011,0.9998
13.0,0.9819,0.070704,40.825577,7565.204579,75.652004,0.0,0.5,0.002535,0.999223
14.0,0.983,0.063136,40.825577,7565.204582,75.652004,0.0,0.5,0.001388,0.999611
15.0,0.984,0.066073,40.825577,7565.204586,75.652004,0.0,0.5,0.001462,0.999571
16.0,0.981,0.083971,40.825577,7565.204589,75.652004,0.0,0.5,0.00018,1.0
17.0,0.9842,0.059629,40.825577,7565.204593,75.652004,0.0,0.5,0.002443,0.999285
18.0,0.9818,0.066503,40.825577,7565.204599,75.652004,0.0,0.5,0.002065,0.999391
19.0,0.9806,0.083701,40.825577,7565.204603,75.652004,0.0,0.5,0.000221,1.0
20.0,0.9846,0.066115,40.825577,7565.204607,75.652004,0.0,0.5,0.000224,0.999979
21.0,0.9846,0.061041,40.825577,7565.204611,75.652004,0.0,0.5,0.001237,0.999658
22.0,0.9821,0.08239,40.825577,7565.204615,75.652004,0.0,0.5,0.000133,1.0
23.0,0.9846,0.069936,40.825577,7565.204619,75.652004,0.0,0.5,0.000771,0.999772
24.0,0.9832,0.072844,40.825577,7565.204623,75.652004,0.0,0.5,0.000591,0.999837
25.0,0.9846,0.07014,40.825577,7565.204628,75.652004,0.0,0.5,0.000617,0.999816
26.0,0.9844,0.064288,40.825577,7565.204633,75.652004,0.0,0.5,0.000653,0.999809
27.0,0.9841,0.069107,40.825577,7565.204637,75.652004,0.0,0.5,0.000447,0.999896
28.0,0.9834,0.069261,40.825577,7565.204642,75.652004,0.0,0.5,0.000425,0.999891
29.0,0.9828,0.077149,40.825577,7565.204647,75.652004,0.0,0.5,9e-05,0.999995
30.0,0.9852,0.06981,40.825577,7565.204651,75.652004,0.0,0.5,0.000171,0.999978
31.0,0.986,0.064052,40.825577,7565.204656,75.652004,0.0,0.5,0.000377,0.999891
32.0,0.9856,0.066271,40.825577,7565.204664,75.652004,0.0,0.5,0.000105,1.0
33.0,0.9847,0.069092,40.825577,7565.204669,75.652004,0.0,0.5,9.2e-05,1.0
34.0,0.9849,0.067276,40.825577,7565.204675,75.652004,0.0,0.5,8.9e-05,1.0
35.0,0.9855,0.068503,40.825577,7565.20468,75.652004,0.0,0.5,6.9e-05,1.0
36.0,0.9853,0.072854,40.825577,7565.204685,75.652004,0.0,0.5,8.6e-05,1.0
37.0,0.9843,0.073598,40.825577,7565.204691,75.652004,0.0,0.5,7.7e-05,1.0
38.0,0.986,0.068226,40.825577,7565.204696,75.652004,0.0,0.5,6.8e-05,1.0
39.0,0.9863,0.065316,40.825577,7565.204702,75.652004,0.0,0.5,8.8e-05,1.0
40.0,0.9847,0.077762,40.825577,7565.204707,75.652004,0.0,0.5,7.8e-05,1.0
41.0,0.9861,0.067874,40.825577,7565.204714,75.652004,0.0,0.5,5.2e-05,1.0
42.0,0.9854,0.072818,40.825577,7565.204721,75.652004,0.0,0.5,5.3e-05,1.0
43.0,0.9842,0.079798,40.825577,7565.204727,75.652004,0.0,0.5,4.9e-05,1.0
44.0,0.9863,0.067056,40.825577,7565.204734,75.652004,0.0,0.5,6.2e-05,1.0
45.0,0.9858,0.072853,40.825577,7565.20474,75.652004,0.0,0.5,4.5e-05,1.0
46.0,0.9858,0.073511,40.825577,7565.204746,75.652004,0.0,0.5,4.2e-05,1.0
47.0,0.9845,0.078857,40.825577,7565.204753,75.652004,0.0,0.5,2.8e-05,1.0
48.0,0.9843,0.0861,40.825577,7565.204759,75.652004,0.0,0.5,3e-05,1.0
49.0,0.9862,0.07163,40.825577,7565.204766,75.652004,0.0,0.5,5.2e-05,1.0
50.0,0.9859,0.071992,40.825577,7565.204772,75.652004,0.0,0.5,3.5e-05,1.0
51.0,0.9853,0.074155,40.825577,7565.204779,75.652004,0.0,0.5,4.7e-05,1.0
52.0,0.9858,0.074415,40.825577,7565.204786,75.652004,0.0,0.5,3.7e-05,1.0
53.0,0.9836,0.083858,40.825577,7565.204793,75.652004,0.0,0.5,6.3e-05,1.0
54.0,0.982,0.082698,40.825577,7565.204803,75.652004,0.0,0.5,0.001637,0.999581
55.0,0.9841,0.078088,40.825577,7565.204811,75.652004,0.0,0.5,4.3e-05,1.0
56.0,0.986,0.07001,40.825577,7565.204818,75.652004,0.0,0.5,3.3e-05,1.0
57.0,0.9857,0.072903,40.825577,7565.204825,75.652004,0.0,0.5,3.6e-05,1.0
58.0,0.9864,0.067414,40.825577,7565.204833,75.652004,0.0,0.5,5.3e-05,1.0
59.0,0.9852,0.074868,40.825577,7565.20484,75.652004,0.0,0.5,2.8e-05,1.0
60.0,0.987,0.066018,40.825577,7565.204848,75.652004,0.0,0.5,4.5e-05,1.0
61.0,0.9864,0.071278,40.825577,7565.204856,75.652004,0.0,0.5,4.2e-05,1.0
