Round,Test Accuracy,Test Loss,Comm Cost (MB),Elapsed (s),Round Time (s),Straggler Ratio,Participation Rate,Train Loss,Train Accuracy
1.0,0.9339,0.244805,204.127884,2938.534509,29.385302,0.0,0.5,0.967229,0.679145
2.0,0.9614,0.123466,204.127884,2938.534574,29.385302,0.0,0.5,0.204186,0.935821
3.0,0.9716,0.094332,204.127884,2938.534577,29.385302,0.0,0.5,0.112289,0.964811
4.0,0.9735,0.080292,204.127884,2938.534579,29.385302,0.0,0.5,0.082508,0.974037
5.0,0.9777,0.070246,204.127884,2938.534582,29.385302,0.0,0.5,0.065799,0.979885
6.0,0.9802,0.064049,204.127884,2938.534585,29.385302,0.0,0.5,0.052351,0.983892
7.0,0.9818,0.058656,204.127884,2938.534587,29.385302,0.0,0.5,0.047273,0.985508
8.0,0.9818,0.057912,204.127884,2938.534589,29.385302,0.0,0.5,0.036759,0.988627
9.0,0.983,0.054158,204.127884,2938.534592,29.385302,0.0,0.5,0.032798,0.990068
10.0,0.9844,0.050231,204.127884,2938.534595,29.385302,0.0,0.5,0.029551,0.991315
11.0,0.9845,0.048943,204.127884,2938.534598,29.385302,0.0,0.5,0.028297,0.991534
12.0,0.985,0.048065,204.127884,2938.534601,29.385302,0.0,0.5,0.023078,0.993244
13.0,0.9855,0.047663,204.127884,2938.534604,29.385302,0.0,0.5,0.021911,0.993556
14.0,0.9861,0.045021,204.127884,2938.534606,29.385302,0.0,0.5,0.018227,0.99453
15.0,0.9867,0.045062,204.127884,2938.53461,29.385302,0.0,0.5,0.018152,0.994576
16.0,0.9865,0.044934,204.127884,2938.534613,29.385302,0.0,0.5,0.013373,0.996479
17.0,0.9872,0.043498,204.127884,2938.534618,29.385302,0.0,0.5,0.013769,0.996092
18.0,0.9872,0.042006,204.127884,2938.534623,29.385302,0.0,0.5,0.016493,0.9952
19.0,0.9875,0.041082,204.127884,2938.534626,29.385302,0.0,0.5,0.013384,0.996134
20.0,0.9874,0.041448,204.127884,2938.53463,29.385302,0.0,0.5,0.01267,0.996465
21.0,0.9879,0.04004,204.127884,2938.534634,29.385302,0.0,0.5,0.009567,0.997339
22.0,0.9881,0.040229,204.127884,2938.534637,29.385302,0.0,0.5,0.012165,0.996605
23.0,0.9879,0.039755,204.127884,2938.534641,29.385302,0.0,0.5,0.009897,0.997308
24.0,0.9886,0.039816,204.127884,2938.534645,29.385302,0.0,0.5,0.006516,0.998372
25.0,0.9885,0.040076,204.127884,2938.534649,29.385302,0.0,0.5,0.007747,0.997905
26.0,0.9885,0.039678,204.127884,2938.534654,29.385302,0.0,0.5,0.009072,0.997545
27.0,0.9887,0.0385,204.127884,2938.534658,29.385302,0.0,0.5,0.006146,0.9985
28.0,0.9891,0.039115,204.127884,2938.534662,29.385302,0.0,0.5,0.006809,0.998126
29.0,0.9886,0.038887,204.127884,2938.534666,29.385302,0.0,0.5,0.00712,0.997966
30.0,0.9893,0.038322,204.127884,2938.534671,29.385302,0.0,0.5,0.007407,0.997906
31.0,0.9892,0.039513,204.127884,2938.534675,29.385302,0.0,0.5,0.005365,0.998593
32.0,0.9892,0.038915,204.127884,2938.534679,29.385302,0.0,0.5,0.005873,0.99846
33.0,0.9894,0.03903,204.127884,2938.534684,29.385302,0.0,0.5,0.004337,0.998993
34.0,0.9891,0.03923,204.127884,2938.534691,29.385302,0.0,0.5,0.004838,0.998639
35.0,0.9886,0.039147,204.127884,2938.534695,29.385302,0.0,0.5,0.00588,0.998386
36.0,0.9891,0.039076,204.127884,2938.5347,29.385302,0.0,0.5,0.00372,0.999079
37.0,0.9894,0.038954,204.127884,2938.534705,29.385302,0.0,0.5,0.004849,0.99874
38.0,0.9895,0.039484,204.127884,2938.53471,29.385302,0.0,0.5,0.005133,0.998753
39.0,0.99,0.037937,204.127884,2938.534715,29.385302,0.0,0.5,0.004402,0.998839
40.0,0.9897,0.038265,204.127884,2938.53472,29.385302,0.0,0.5,0.002755,0.999467
41.0,0.9896,0.037728,204.127884,2938.534725,29.385302,0.0,0.5,0.004057,0.998966
42.0,0.9901,0.03771,204.127884,2938.534733,29.385302,0.0,0.5,0.003039,0.999247
43.0,0.9902,0.037243,204.127884,2938.534738,29.385302,0.0,0.5,0.003715,0.999013
44.0,0.9897,0.038102,204.127884,2938.534744,29.385302,0.0,0.5,0.002208,0.999527
45.0,0.9899,0.037523,204.127884,2938.534749,29.385302,0.0,0.5,0.00281,0.99936
46.0,0.9903,0.038225,204.127884,2938.534755,29.385302,0.0,0.5,0.002539,0.99942
47.0,0.9902,0.038607,204.127884,2938.534761,29.385302,0.0,0.5,0.002993,0.999247
48.0,0.99,0.038837,204.127884,2938.534766,29.385302,0.0,0.5,0.002647,0.999467
49.0,0.9901,0.038723,204.127884,2938.534772,29.385302,0.0,0.5,0.002333,0.999467
50.0,0.9903,0.038111,204.127884,2938.534778,29.385302,0.0,0.5,0.003388,0.999173
51.0,0.9898,0.03892,204.127884,2938.534784,29.385302,0.0,0.5,0.001591,0.99972
52.0,0.9895,0.039782,204.127884,2938.534794,29.385302,0.0,0.5,0.00223,0.999446
53.0,0.9895,0.038867,204.127884,2938.534801,29.385302,0.0,0.5,0.00208,0.999473
54.0,0.9903,0.038822,204.127884,2938.534825,29.385302,0.0,0.5,0.002019,0.999533
55.0,0.9898,0.03914,204.127884,2938.534832,29.385302,0.0,0.5,0.002324,0.999486
56.0,0.99,0.039529,204.127884,2938.534839,29.385302,0.0,0.5,0.001703,0.99962
57.0,0.99,0.038761,204.127884,2938.534846,29.385302,0.0,0.5,0.001332,0.99978
58.0,0.9905,0.039144,204.127884,2938.534859,29.385302,0.0,0.5,0.001515,0.999706
59.0,0.9903,0.039334,204.127884,2938.534867,29.385302,0.0,0.5,0.00171,0.999646
60.0,0.9903,0.039881,204.127884,2938.534874,29.385302,0.0,0.5,0.001255,0.999833
61.0,0.99,0.039871,204.127884,2938.534882,29.385302,0.0,0.5,0.001167,0.999807
62.0,0.99,0.039887,204.127884,2938.534889,29.385302,0.0,0.5,0.001197,0.999813
63.0,0.9904,0.040269,204.127884,2938.534897,29.385302,0.0,0.5,0.0015,0.999707
64.0,0.9902,0.040406,204.127884,2938.534905,29.385302,0.0,0.5,0.000983,0.999853
65.0,0.9903,0.040221,204.127884,2938.534924,29.385302,0.0,0.5,0.002925,0.999353
66.0,0.99,0.040043,204.127884,2938.53494,29.385302,0.0,0.5,0.001015,0.999853
67.0,0.9902,0.040334,204.127884,2938.534948,29.385302,0.0,0.5,0.001088,0.999813
68.0,0.9902,0.040062,204.127884,2938.534956,29.385302,0.0,0.5,0.000775,0.999907
69.0,0.99,0.039876,204.127884,2938.534965,29.385302,0.0,0.5,0.0009,0.999833
