final_accuracy,final_loss,convergence_round,total_comm_mb,avg_round_time,avg_straggler,run,dataset,num_clients,num_rounds,alpha,fraction,straggler_prob,run_dir
0.7085,1.578405,,816.951,37.9538,0.0,run_10_iid,cifar10,10,20,iid,0.5,0.0,results_cifar/run_10_iid
0.1317,12.419461,,816.951,60.3499,0.0,run_10_0.01,cifar10,10,20,0.01,0.5,0.0,results_cifar/run_10_0.01
0.4162,4.904357,,816.951,53.7052,0.0,run_10_0.1,cifar10,10,20,0.1,0.5,0.0,results_cifar/run_10_0.1
0.6361,2.209959,,816.951,46.4195,0.0,run_10_0.5,cifar10,10,20,0.5,0.5,0.0,results_cifar/run_10_0.5
0.7053,1.550671,,816.951,40.8381,0.0,run_10_1.0,cifar10,10,20,1.0,0.5,0.0,results_cifar/run_10_1.0
0.6545,1.13238,,4084.7549,35.8672,0.0,run_50_iid,cifar10,50,20,iid,0.5,0.0,results_cifar/run_50_iid
0.3353,2.457051,,4084.7549,60.862,0.0,run_50_0.01,cifar10,50,20,0.01,0.5,0.0,results_cifar/run_50_0.01
0.5346,1.472115,,4084.7549,44.2501,0.0,run_50_0.1,cifar10,50,20,0.1,0.5,0.0,results_cifar/run_50_0.1
0.6384,1.241044,,4084.7549,38.8212,0.0,run_50_0.5,cifar10,50,20,0.5,0.5,0.0,results_cifar/run_50_0.5
0.6335,1.260101,,4084.7549,36.3635,0.0,run_50_1.0,cifar10,50,20,1.0,0.5,0.0,results_cifar/run_50_1.0
0.5779,1.285422,,8169.5099,58.9541,0.0,run_100_iid,cifar10,100,20,iid,0.5,0.0,results_cifar/run_100_iid
0.3304,2.083068,,8169.5099,66.2869,0.0,run_100_0.01,cifar10,100,20,0.01,0.5,0.0,results_cifar/run_100_0.01
0.5188,1.404937,,8169.5099,66.9994,0.0,run_100_0.1,cifar10,100,20,0.1,0.5,0.0,results_cifar/run_100_0.1
0.6019,1.18316,,8169.5099,75.3582,0.0,run_100_0.5,cifar10,100,20,0.5,0.5,0.0,results_cifar/run_100_0.5
0.6039,1.208915,,8169.5099,59.2581,0.0,run_100_1.0,cifar10,100,20,1.0,0.5,0.0,results_cifar/run_100_1.0
