Round,Test Accuracy,Test Loss,Comm Cost (MB),Elapsed (s),Straggler Ratio,Participation Rate,Strategy,Dataset,Clients,Alpha
1,0.3957,1.861665831375122,3.6842041015625,19.745404481887817,0.25,0.8,OORT_SIM,CIFAR10,10,1.0
2,0.5253,1.3678069721221924,7.368408203125,38.192001819610596,0.25,0.8,OORT_SIM,CIFAR10,10,1.0
3,0.5454,1.2868577007293702,11.0526123046875,55.337095975875854,0.25,0.8,OORT_SIM,CIFAR10,10,1.0
4,0.6073,1.1239747213363647,14.73681640625,75.447181224823,0.25,0.8,OORT_SIM,CIFAR10,10,1.0
5,0.5954,1.1283067848205566,18.4210205078125,93.42403888702393,0.25,0.8,OORT_SIM,CIFAR10,10,1.0
6,0.6382,1.043062568283081,22.105224609375,113.79902219772339,0.25,0.8,OORT_SIM,CIFAR10,10,1.0
7,0.6402,1.033542240524292,25.7894287109375,133.85158109664917,0.125,0.8,OORT_SIM,CIFAR10,10,1.0
8,0.6518,0.9982189407348633,29.4736328125,153.81115865707397,0.125,0.8,OORT_SIM,CIFAR10,10,1.0
9,0.6452,1.0223603496551514,33.1578369140625,173.74920678138733,0.25,0.8,OORT_SIM,CIFAR10,10,1.0
10,0.6589,0.9973204675674439,36.842041015625,193.245707988739,0.125,0.8,OORT_SIM,CIFAR10,10,1.0
11,0.6508,1.0344683002471924,40.5262451171875,214.02681875228882,0.125,0.8,OORT_SIM,CIFAR10,10,1.0
12,0.6584,0.994209041595459,44.21044921875,231.74123334884644,0.25,0.8,OORT_SIM,CIFAR10,10,1.0
13,0.6466,1.0865380069732666,47.8946533203125,252.6147780418396,0.125,0.8,OORT_SIM,CIFAR10,10,1.0
14,0.6691,0.9871464016914367,51.578857421875,271.5403642654419,0.125,0.8,OORT_SIM,CIFAR10,10,1.0
15,0.6705,1.0131769742965697,55.2630615234375,293.16133666038513,0.125,0.8,OORT_SIM,CIFAR10,10,1.0
16,0.6693,0.983697566318512,58.947265625,312.5124475955963,0.25,0.8,OORT_SIM,CIFAR10,10,1.0
17,0.6651,1.0561251709938049,62.6314697265625,333.6377556324005,0.125,0.8,OORT_SIM,CIFAR10,10,1.0
18,0.6592,1.0285073928833008,66.315673828125,351.61203789711,0.25,0.8,OORT_SIM,CIFAR10,10,1.0
19,0.678,1.0309672721862793,69.9998779296875,371.8981099128723,0.125,0.8,OORT_SIM,CIFAR10,10,1.0
20,0.6666,1.0595705786705016,73.68408203125,391.277902841568,0.125,0.8,OORT_SIM,CIFAR10,10,1.0
21,0.6675,1.0346337804794312,77.3682861328125,411.409218788147,0.25,0.8,OORT_SIM,CIFAR10,10,1.0
22,0.6677,1.0633217199325562,81.052490234375,431.62765192985535,0.125,0.8,OORT_SIM,CIFAR10,10,1.0
23,0.6613,1.1289298036575317,84.7366943359375,452.4062786102295,0.25,0.8,OORT_SIM,CIFAR10,10,1.0
24,0.6648,1.1301822862625122,88.4208984375,473.52418208122253,0.125,0.8,OORT_SIM,CIFAR10,10,1.0
25,0.6648,1.1281171796798706,92.1051025390625,494.58106994628906,0.125,0.8,OORT_SIM,CIFAR10,10,1.0
