Round,Test Accuracy,Test Loss,Comm Cost (MB),Elapsed (s),Straggler Ratio,Participation Rate,Strategy,Dataset,Clients,Alpha
1,0.2565,2.2347442024230957,18.4210205078125,28.167194604873657,0.1,0.8,OORT_SIM,CIFAR10,50,0.1
2,0.2459,2.1351678646087646,36.842041015625,48.64287042617798,0.15,0.8,OORT_SIM,CIFAR10,50,0.1
3,0.3272,2.0134919635772706,55.2630615234375,67.87624645233154,0.15,0.8,OORT_SIM,CIFAR10,50,0.1
4,0.3662,1.836263876914978,73.68408203125,92.00314402580261,0.125,0.8,OORT_SIM,CIFAR10,50,0.1
5,0.3562,1.7872073917388915,92.1051025390625,110.72411870956421,0.125,0.8,OORT_SIM,CIFAR10,50,0.1
6,0.3979,1.6963843158721923,110.526123046875,128.8488540649414,0.175,0.8,OORT_SIM,CIFAR10,50,0.1
7,0.4231,1.665275640296936,128.9471435546875,149.83995509147644,0.125,0.8,OORT_SIM,CIFAR10,50,0.1
8,0.4463,1.597293461227417,147.3681640625,171.57342314720154,0.175,0.8,OORT_SIM,CIFAR10,50,0.1
9,0.4409,1.5686419101715088,165.7891845703125,192.88330245018005,0.15,0.8,OORT_SIM,CIFAR10,50,0.1
10,0.4305,1.5504440181732178,184.210205078125,212.4510040283203,0.175,0.8,OORT_SIM,CIFAR10,50,0.1
11,0.4518,1.5000294395446778,202.6312255859375,232.54461908340454,0.125,0.8,OORT_SIM,CIFAR10,50,0.1
12,0.4632,1.4730869398117066,221.05224609375,253.4552505016327,0.1,0.8,OORT_SIM,CIFAR10,50,0.1
13,0.4845,1.443140957069397,239.4732666015625,274.39530205726624,0.15,0.8,OORT_SIM,CIFAR10,50,0.1
14,0.4855,1.4479786197662354,257.894287109375,293.81787729263306,0.15,0.8,OORT_SIM,CIFAR10,50,0.1
15,0.4979,1.408584753227234,276.3153076171875,313.3558349609375,0.15,0.8,OORT_SIM,CIFAR10,50,0.1
16,0.4895,1.4138538228988649,294.736328125,334.9048602581024,0.075,0.8,OORT_SIM,CIFAR10,50,0.1
17,0.5192,1.3630090269088746,313.1573486328125,355.3168828487396,0.175,0.8,OORT_SIM,CIFAR10,50,0.1
18,0.5193,1.3636886011123657,331.578369140625,376.81094670295715,0.125,0.8,OORT_SIM,CIFAR10,50,0.1
19,0.5085,1.3626951124191284,349.9993896484375,395.90090894699097,0.225,0.8,OORT_SIM,CIFAR10,50,0.1
20,0.5264,1.3252347764968873,368.42041015625,416.90241527557373,0.125,0.8,OORT_SIM,CIFAR10,50,0.1
21,0.5449,1.3060429573059082,386.8414306640625,438.86746168136597,0.15,0.8,OORT_SIM,CIFAR10,50,0.1
22,0.5491,1.2911061386108398,405.262451171875,459.4482567310333,0.175,0.8,OORT_SIM,CIFAR10,50,0.1
23,0.5542,1.272540641593933,423.6834716796875,480.9723000526428,0.1,0.8,OORT_SIM,CIFAR10,50,0.1
24,0.5401,1.2888241664886475,442.1044921875,501.24784302711487,0.1,0.8,OORT_SIM,CIFAR10,50,0.1
25,0.5669,1.2408198902130128,460.5255126953125,522.0849094390869,0.15,0.8,OORT_SIM,CIFAR10,50,0.1
26,0.5646,1.2404586700439453,478.946533203125,541.3686711788177,0.15,0.8,OORT_SIM,CIFAR10,50,0.1
27,0.5702,1.2289106565475463,497.3675537109375,562.3190078735352,0.15,0.8,OORT_SIM,CIFAR10,50,0.1
28,0.5824,1.2084559520721436,515.78857421875,583.6042551994324,0.125,0.8,OORT_SIM,CIFAR10,50,0.1
29,0.5479,1.2564785640716554,534.2095947265625,603.6841585636139,0.125,0.8,OORT_SIM,CIFAR10,50,0.1
30,0.5881,1.1913664318084716,552.630615234375,625.9881126880646,0.15,0.8,OORT_SIM,CIFAR10,50,0.1
31,0.5842,1.1887882175445557,571.0516357421875,646.4037928581238,0.15,0.8,OORT_SIM,CIFAR10,50,0.1
32,0.5819,1.1900868463516234,589.47265625,667.6450686454773,0.125,0.8,OORT_SIM,CIFAR10,50,0.1
33,0.5815,1.1822744758605956,607.8936767578125,686.2769174575806,0.175,0.8,OORT_SIM,CIFAR10,50,0.1
34,0.5829,1.1890290168762208,626.314697265625,706.2492990493774,0.225,0.8,OORT_SIM,CIFAR10,50,0.1
35,0.5924,1.1649039207458496,644.7357177734375,728.5053939819336,0.15,0.8,OORT_SIM,CIFAR10,50,0.1
36,0.5859,1.1741786224365234,663.15673828125,748.4313449859619,0.175,0.8,OORT_SIM,CIFAR10,50,0.1
37,0.5859,1.1756450344085694,681.5777587890625,769.5618963241577,0.175,0.8,OORT_SIM,CIFAR10,50,0.1
38,0.5841,1.1727964658737182,699.998779296875,791.7254920005798,0.125,0.8,OORT_SIM,CIFAR10,50,0.1
39,0.6012,1.1405068042755127,718.4197998046875,814.2501754760742,0.15,0.8,OORT_SIM,CIFAR10,50,0.1
40,0.5974,1.1448294784545898,736.8408203125,837.8695220947266,0.125,0.8,OORT_SIM,CIFAR10,50,0.1
41,0.614,1.1195094570159911,755.2618408203125,859.0133666992188,0.125,0.8,OORT_SIM,CIFAR10,50,0.1
42,0.6048,1.1344365119934081,773.682861328125,880.1494336128235,0.15,0.8,OORT_SIM,CIFAR10,50,0.1
43,0.597,1.139240823173523,792.1038818359375,900.8819699287415,0.15,0.8,OORT_SIM,CIFAR10,50,0.1
44,0.6056,1.1332037195205689,810.52490234375,921.9387273788452,0.175,0.8,OORT_SIM,CIFAR10,50,0.1
45,0.6168,1.106174885559082,828.9459228515625,940.6787655353546,0.2,0.8,OORT_SIM,CIFAR10,50,0.1
46,0.6146,1.104027338409424,847.366943359375,961.2904546260834,0.15,0.8,OORT_SIM,CIFAR10,50,0.1
47,0.6029,1.1236644763946533,865.7879638671875,979.5917909145355,0.175,0.8,OORT_SIM,CIFAR10,50,0.1
48,0.6101,1.1080004749298096,884.208984375,998.5474750995636,0.15,0.8,OORT_SIM,CIFAR10,50,0.1
49,0.6194,1.0925812824249268,902.6300048828125,1016.1643717288971,0.125,0.8,OORT_SIM,CIFAR10,50,0.1
50,0.6144,1.0990064683914185,921.051025390625,1036.533919095993,0.15,0.8,OORT_SIM,CIFAR10,50,0.1
