round,accuracy,loss,strategy,dataset,num_clients,alpha,comm_cost_mb,Strategy
0,0.0978,2.303140458679199,OORT,MNIST,10,0.01,16.084365844726562,Oort
1,0.101,5.933697555541992,OORT,MNIST,10,0.01,32.168731689453125,Oort
2,0.3491,2.826538692474365,OORT,MNIST,10,0.01,48.25309753417969,Oort
3,0.2965,2.15477329788208,OORT,MNIST,10,0.01,64.33746337890625,Oort
4,0.5105,1.6210049015045167,OORT,MNIST,10,0.01,80.42182922363281,Oort
5,0.5969,1.3464736125946044,OORT,MNIST,10,0.01,96.50619506835938,Oort
6,0.7148,1.1739995590209962,OORT,MNIST,10,0.01,112.59056091308594,Oort
7,0.7521,1.1954686172485351,OORT,MNIST,10,0.01,128.6749267578125,Oort
8,0.7341,1.0699699871063233,OORT,MNIST,10,0.01,144.75929260253906,Oort
9,0.7744,1.05314817237854,OORT,MNIST,10,0.01,160.84365844726562,Oort
10,0.7733,1.2605426788330079,OORT,MNIST,10,0.01,176.9280242919922,Oort
11,0.773,1.2746045642852784,OORT,MNIST,10,0.01,193.01239013671875,Oort
12,0.6315,1.089854766845703,OORT,MNIST,10,0.01,209.0967559814453,Oort
13,0.8046,0.5454284453392029,OORT,MNIST,10,0.01,225.18112182617188,Oort
14,0.8157,0.5266453891277313,OORT,MNIST,10,0.01,241.26548767089844,Oort
15,0.7858,0.7517181087493896,OORT,MNIST,10,0.01,257.349853515625,Oort
16,0.7231,0.9009932407379151,OORT,MNIST,10,0.01,273.43421936035156,Oort
17,0.8175,0.7659581445693969,OORT,MNIST,10,0.01,289.5185852050781,Oort
18,0.8347,0.6340693697929383,OORT,MNIST,10,0.01,305.6029510498047,Oort
19,0.8547,0.6454979796409607,OORT,MNIST,10,0.01,321.68731689453125,Oort
20,0.7388,0.9406584893226624,OORT,MNIST,10,0.01,337.7716827392578,Oort
21,0.6991,1.060643893814087,OORT,MNIST,10,0.01,353.8560485839844,Oort
22,0.7835,0.7511563775062561,OORT,MNIST,10,0.01,369.94041442871094,Oort
23,0.7578,0.9192919436454773,OORT,MNIST,10,0.01,386.0247802734375,Oort
24,0.9078,0.27981142987012864,OORT,MNIST,10,0.01,402.10914611816406,Oort
25,0.9322,0.20592215293645857,OORT,MNIST,10,0.01,418.1935119628906,Oort
26,0.9056,0.3104812419176102,OORT,MNIST,10,0.01,434.2778778076172,Oort
27,0.8823,0.3857346320152283,OORT,MNIST,10,0.01,450.36224365234375,Oort
28,0.9314,0.2069152054786682,OORT,MNIST,10,0.01,466.4466094970703,Oort
29,0.9456,0.16401849082112313,OORT,MNIST,10,0.01,482.5309753417969,Oort
30,0.9211,0.2456599630355835,OORT,MNIST,10,0.01,498.61534118652344,Oort
31,0.9034,0.3074410844564438,OORT,MNIST,10,0.01,514.69970703125,Oort
32,0.8934,0.33344105038642885,OORT,MNIST,10,0.01,530.7840728759766,Oort
33,0.8852,0.360394149518013,OORT,MNIST,10,0.01,546.8684387207031,Oort
34,0.9286,0.22565486433506013,OORT,MNIST,10,0.01,562.9528045654297,Oort
35,0.9068,0.2973185609340668,OORT,MNIST,10,0.01,579.0371704101562,Oort
36,0.9073,0.3235713683605194,OORT,MNIST,10,0.01,595.1215362548828,Oort
37,0.8953,0.34513603415489197,OORT,MNIST,10,0.01,611.2059020996094,Oort
38,0.8849,0.3417704677581787,OORT,MNIST,10,0.01,627.2902679443359,Oort
39,0.8736,0.46621053938865664,OORT,MNIST,10,0.01,643.3746337890625,Oort
40,0.8606,0.5295355309486389,OORT,MNIST,10,0.01,659.4589996337891,Oort
41,0.8869,0.3805025349140167,OORT,MNIST,10,0.01,675.5433654785156,Oort
42,0.8435,0.49909287624359133,OORT,MNIST,10,0.01,691.6277313232422,Oort
43,0.8644,0.5104467971801758,OORT,MNIST,10,0.01,707.7120971679688,Oort
44,0.8658,0.5050118299484253,OORT,MNIST,10,0.01,723.7964630126953,Oort
45,0.8723,0.4494171142578125,OORT,MNIST,10,0.01,739.8808288574219,Oort
46,0.8633,0.49064370031356813,OORT,MNIST,10,0.01,755.9651947021484,Oort
47,0.8604,0.581565087890625,OORT,MNIST,10,0.01,772.049560546875,Oort
48,0.8561,0.48735391483306884,OORT,MNIST,10,0.01,788.1339263916016,Oort
49,0.862,0.5221714661598206,OORT,MNIST,10,0.01,804.2182922363281,Oort
50,0.84,0.5573447483062745,OORT,MNIST,10,0.01,820.3026580810547,Oort
