round,accuracy,loss,strategy,dataset,num_clients,alpha,comm_cost_mb,Strategy,straggle_ratio
1,0.1108,4.17725103302002,OORT,MNIST,50,0.01,160.84365844726562,Oort,0.24
2,0.0958,5.688432727813721,OORT,MNIST,50,0.01,241.26548767089844,Oort,0.24
3,0.1536,3.199868859100342,OORT,MNIST,50,0.01,321.68731689453125,Oort,0.32
4,0.0892,5.5668437377929685,OORT,MNIST,50,0.01,402.10914611816406,Oort,0.2
5,0.1972,2.81555583114624,OORT,MNIST,50,0.01,482.5309753417969,Oort,0.28
6,0.1766,3.0466714538574218,OORT,MNIST,50,0.01,562.9528045654297,Oort,0.2
7,0.1323,3.7002880142211914,OORT,MNIST,50,0.01,643.3746337890625,Oort,0.24
8,0.2431,5.921228151702881,OORT,MNIST,50,0.01,723.7964630126953,Oort,0.28
9,0.2719,7.0268575347900395,OORT,MNIST,50,0.01,804.2182922363281,Oort,0.28
10,0.2736,8.585703765869141,OORT,MNIST,50,0.01,884.6401214599609,Oort,0.28
11,0.1028,10.301183596801758,OORT,MNIST,50,0.01,965.0619506835938,Oort,0.24
12,0.1028,2.3862140872955324,OORT,MNIST,50,0.01,1045.4837799072266,Oort,0.32
13,0.1217,7.278081086730957,OORT,MNIST,50,0.01,1125.9056091308594,Oort,0.2
14,0.1806,2.5324752590179442,OORT,MNIST,50,0.01,1206.3274383544922,Oort,0.2
15,0.1826,6.174907544708252,OORT,MNIST,50,0.01,1286.749267578125,Oort,0.2
16,0.1272,2.37516923866272,OORT,MNIST,50,0.01,1367.1710968017578,Oort,0.24
17,0.4317,2.4521157917022705,OORT,MNIST,50,0.01,1447.5929260253906,Oort,0.2
18,0.2954,5.317676671600342,OORT,MNIST,50,0.01,1528.0147552490234,Oort,0.24
19,0.1854,3.536128842163086,OORT,MNIST,50,0.01,1608.4365844726562,Oort,0.2
20,0.262,2.867565263366699,OORT,MNIST,50,0.01,1688.858413696289,Oort,0.24
21,0.4416,2.563854187774658,OORT,MNIST,50,0.01,1769.2802429199219,Oort,0.24
22,0.3499,3.8124419418334963,OORT,MNIST,50,0.01,1849.7020721435547,Oort,0.28
23,0.5366,2.099790197753906,OORT,MNIST,50,0.01,1930.1239013671875,Oort,0.24
24,0.4485,2.144264813232422,OORT,MNIST,50,0.01,2010.5457305908203,Oort,0.2
25,0.5637,1.70466849899292,OORT,MNIST,50,0.01,2090.967559814453,Oort,0.2
26,0.5574,2.086417751312256,OORT,MNIST,50,0.01,2171.389389038086,Oort,0.24
27,0.5606,2.0024920364379883,OORT,MNIST,50,0.01,2251.8112182617188,Oort,0.16
28,0.11,4.850613970947266,OORT,MNIST,50,0.01,2332.2330474853516,Oort,0.24
29,0.4175,1.6316833377838136,OORT,MNIST,50,0.01,2412.6548767089844,Oort,0.28
30,0.3844,2.3655909355163574,OORT,MNIST,50,0.01,2493.076705932617,Oort,0.28
31,0.4151,2.0269968437194823,OORT,MNIST,50,0.01,2573.49853515625,Oort,0.2
32,0.4218,2.174306529998779,OORT,MNIST,50,0.01,2653.920364379883,Oort,0.28
33,0.4534,2.3376869499206543,OORT,MNIST,50,0.01,2734.3421936035156,Oort,0.28
34,0.4787,2.3093345550537108,OORT,MNIST,50,0.01,2814.7640228271484,Oort,0.28
35,0.5383,1.9302801189422607,OORT,MNIST,50,0.01,2895.1858520507812,Oort,0.24
36,0.601,1.6954804969787598,OORT,MNIST,50,0.01,2975.607681274414,Oort,0.2
37,0.5763,1.9148842288970946,OORT,MNIST,50,0.01,3056.029510498047,Oort,0.24
38,0.5818,1.9399799041748047,OORT,MNIST,50,0.01,3136.4513397216797,Oort,0.28
39,0.6068,1.5962364902496338,OORT,MNIST,50,0.01,3216.8731689453125,Oort,0.2
40,0.613,1.5843869644165038,OORT,MNIST,50,0.01,3297.2949981689453,Oort,0.2
41,0.6082,1.7459414318084716,OORT,MNIST,50,0.01,3377.716827392578,Oort,0.28
42,0.5944,1.9148093757629394,OORT,MNIST,50,0.01,3458.138656616211,Oort,0.24
43,0.6011,1.929772200012207,OORT,MNIST,50,0.01,3538.5604858398438,Oort,0.24
44,0.6299,1.7511332992553712,OORT,MNIST,50,0.01,3618.9823150634766,Oort,0.2
45,0.6308,1.8256758800506592,OORT,MNIST,50,0.01,3699.4041442871094,Oort,0.24
46,0.6414,1.695194971847534,OORT,MNIST,50,0.01,3779.825973510742,Oort,0.28
47,0.7317,1.1479340984344482,OORT,MNIST,50,0.01,3860.247802734375,Oort,0.32
48,0.696,1.3555103897094727,OORT,MNIST,50,0.01,3940.669631958008,Oort,0.24
49,0.6815,1.4847658618927002,OORT,MNIST,50,0.01,4021.0914611816406,Oort,0.24
50,0.459,2.305644002532959,OORT,MNIST,50,0.01,4101.513290405273,Oort,0.2
