round,accuracy,loss,strategy,dataset,num_clients,alpha,comm_cost_mb,Strategy,straggler_ratio
1,0.5501,1.5413584716796875,OORT,MNIST,50,0.1,160.84365844726562,Oort,0.36
2,0.8664,0.5444126487731934,OORT,MNIST,50,0.1,241.26548767089844,Oort,0.36
3,0.8676,0.3811229996442795,OORT,MNIST,50,0.1,321.68731689453125,Oort,0.36
4,0.9394,0.1856031011581421,OORT,MNIST,50,0.1,402.10914611816406,Oort,0.28
5,0.9505,0.15317221140861512,OORT,MNIST,50,0.1,482.5309753417969,Oort,0.28
6,0.9641,0.1048555438399315,OORT,MNIST,50,0.1,562.9528045654297,Oort,0.28
7,0.9566,0.13101496396064757,OORT,MNIST,50,0.1,643.3746337890625,Oort,0.24
8,0.9706,0.08708696660920978,OORT,MNIST,50,0.1,723.7964630126953,Oort,0.16
9,0.9712,0.08885184225738049,OORT,MNIST,50,0.1,804.2182922363281,Oort,0.28
10,0.9735,0.075764749071002,OORT,MNIST,50,0.1,884.6401214599609,Oort,0.28
11,0.9741,0.07395388150066137,OORT,MNIST,50,0.1,965.0619506835938,Oort,0.2
12,0.9764,0.06962441422408447,OORT,MNIST,50,0.1,1045.4837799072266,Oort,0.24
13,0.9772,0.06846611869167536,OORT,MNIST,50,0.1,1125.9056091308594,Oort,0.2
14,0.9774,0.06598716172017158,OORT,MNIST,50,0.1,1206.3274383544922,Oort,0.2
15,0.979,0.06334313574060797,OORT,MNIST,50,0.1,1286.749267578125,Oort,0.32
16,0.9795,0.06148471480123699,OORT,MNIST,50,0.1,1367.1710968017578,Oort,0.28
17,0.98,0.05836150297764689,OORT,MNIST,50,0.1,1447.5929260253906,Oort,0.28
18,0.9828,0.05000666765291244,OORT,MNIST,50,0.1,1528.0147552490234,Oort,0.28
19,0.9814,0.05446709483657032,OORT,MNIST,50,0.1,1608.4365844726562,Oort,0.2
20,0.9822,0.05179540176205337,OORT,MNIST,50,0.1,1688.858413696289,Oort,0.24
21,0.9822,0.051784166586678476,OORT,MNIST,50,0.1,1769.2802429199219,Oort,0.24
22,0.9829,0.05017105545001104,OORT,MNIST,50,0.1,1849.7020721435547,Oort,0.28
23,0.9836,0.048864398690126834,OORT,MNIST,50,0.1,1930.1239013671875,Oort,0.32
24,0.9843,0.04660159659935161,OORT,MNIST,50,0.1,2010.5457305908203,Oort,0.28
25,0.982,0.05464164051795378,OORT,MNIST,50,0.1,2090.967559814453,Oort,0.32
26,0.983,0.0525104063030798,OORT,MNIST,50,0.1,2171.389389038086,Oort,0.28
27,0.9843,0.05118954145014286,OORT,MNIST,50,0.1,2251.8112182617188,Oort,0.32
28,0.9848,0.04527002668818459,OORT,MNIST,50,0.1,2332.2330474853516,Oort,0.2
29,0.9847,0.04610684909904376,OORT,MNIST,50,0.1,2412.6548767089844,Oort,0.28
30,0.9852,0.04375997786088846,OORT,MNIST,50,0.1,2493.076705932617,Oort,0.24
31,0.9854,0.04263797058966011,OORT,MNIST,50,0.1,2573.49853515625,Oort,0.28
32,0.9857,0.04423475954089081,OORT,MNIST,50,0.1,2653.920364379883,Oort,0.28
33,0.9854,0.043204267275566234,OORT,MNIST,50,0.1,2734.3421936035156,Oort,0.2
34,0.9848,0.04481142828175798,OORT,MNIST,50,0.1,2814.7640228271484,Oort,0.24
35,0.986,0.04274814545530826,OORT,MNIST,50,0.1,2895.1858520507812,Oort,0.32
36,0.9859,0.0436250468339771,OORT,MNIST,50,0.1,2975.607681274414,Oort,0.24
37,0.9862,0.04306439431225881,OORT,MNIST,50,0.1,3056.029510498047,Oort,0.28
38,0.9855,0.040150619663717226,OORT,MNIST,50,0.1,3136.4513397216797,Oort,0.24
39,0.9858,0.04375460721948184,OORT,MNIST,50,0.1,3216.8731689453125,Oort,0.2
40,0.9855,0.04218323076879606,OORT,MNIST,50,0.1,3297.2949981689453,Oort,0.32
41,0.9857,0.04158900196151808,OORT,MNIST,50,0.1,3377.716827392578,Oort,0.2
42,0.9865,0.03918824457139708,OORT,MNIST,50,0.1,3458.138656616211,Oort,0.32
43,0.9871,0.03993600184936076,OORT,MNIST,50,0.1,3538.5604858398438,Oort,0.32
44,0.9865,0.03980978956266772,OORT,MNIST,50,0.1,3618.9823150634766,Oort,0.28
45,0.9864,0.041609341346099976,OORT,MNIST,50,0.1,3699.4041442871094,Oort,0.32
46,0.9856,0.046233259999752044,OORT,MNIST,50,0.1,3779.825973510742,Oort,0.28
47,0.9868,0.043370767682557924,OORT,MNIST,50,0.1,3860.247802734375,Oort,0.32
48,0.9876,0.037398744094138965,OORT,MNIST,50,0.1,3940.669631958008,Oort,0.24
49,0.9872,0.03848592046033591,OORT,MNIST,50,0.1,4021.0914611816406,Oort,0.28
50,0.987,0.03744406655490166,OORT,MNIST,50,0.1,4101.513290405273,Oort,0.28
