round,accuracy,loss,strategy,dataset,num_clients,alpha,comm_cost_mb,Strategy,staggler_ratio
1,0.9237,0.30397219982147217,OORT,MNIST,50,1,160.84365844726562,Oort,0.36
2,0.9658,0.10443891689851881,OORT,MNIST,50,1,241.26548767089844,Oort,0.36
3,0.9739,0.08261329978890718,OORT,MNIST,50,1,321.68731689453125,Oort,0.4
4,0.9785,0.0656286682668142,OORT,MNIST,50,1,402.10914611816406,Oort,0.28
5,0.9818,0.05413583162361756,OORT,MNIST,50,1,482.5309753417969,Oort,0.2
6,0.9834,0.04915964529677294,OORT,MNIST,50,1,562.9528045654297,Oort,0.2
7,0.9844,0.0450440436883946,OORT,MNIST,50,1,643.3746337890625,Oort,0.28
8,0.9862,0.04224429512480274,OORT,MNIST,50,1,723.7964630126953,Oort,0.16
9,0.9867,0.03968299732634332,OORT,MNIST,50,1,804.2182922363281,Oort,0.32
10,0.9874,0.0382254018359643,OORT,MNIST,50,1,884.6401214599609,Oort,0.28
11,0.9882,0.03579854165719589,OORT,MNIST,50,1,965.0619506835938,Oort,0.32
12,0.9878,0.03515376939113485,OORT,MNIST,50,1,1045.4837799072266,Oort,0.36
13,0.9884,0.0330861318951589,OORT,MNIST,50,1,1125.9056091308594,Oort,0.32
14,0.989,0.03377762138915714,OORT,MNIST,50,1,1206.3274383544922,Oort,0.32
15,0.9897,0.032255761719227304,OORT,MNIST,50,1,1286.749267578125,Oort,0.12
16,0.9898,0.031130079069937346,OORT,MNIST,50,1,1367.1710968017578,Oort,0.24
17,0.9894,0.03104037728329422,OORT,MNIST,50,1,1447.5929260253906,Oort,0.2
18,0.9896,0.02984935820607934,OORT,MNIST,50,1,1528.0147552490234,Oort,0.2
19,0.9903,0.030734503789863084,OORT,MNIST,50,1,1608.4365844726562,Oort,0.28
20,0.9907,0.02955953173217131,OORT,MNIST,50,1,1688.858413696289,Oort,0.16
21,0.9908,0.029684254878995127,OORT,MNIST,50,1,1769.2802429199219,Oort,0.2
22,0.9911,0.028917316023772583,OORT,MNIST,50,1,1849.7020721435547,Oort,0.2
23,0.991,0.029042151085671503,OORT,MNIST,50,1,1930.1239013671875,Oort,0.2
24,0.9915,0.02787102793676313,OORT,MNIST,50,1,2010.5457305908203,Oort,0.2
25,0.9907,0.02982902655111393,OORT,MNIST,50,1,2090.967559814453,Oort,0.12
26,0.9909,0.027238904927918337,OORT,MNIST,50,1,2171.389389038086,Oort,0.16
27,0.9911,0.02782127337644051,OORT,MNIST,50,1,2251.8112182617188,Oort,0.16
28,0.9915,0.027459752417232086,OORT,MNIST,50,1,2332.2330474853516,Oort,0.16
29,0.9915,0.02768150615022023,OORT,MNIST,50,1,2412.6548767089844,Oort,0.12
30,0.9917,0.027164833623397864,OORT,MNIST,50,1,2493.076705932617,Oort,0.16
31,0.9915,0.026588812307230546,OORT,MNIST,50,1,2573.49853515625,Oort,0.16
32,0.9915,0.027186261328024555,OORT,MNIST,50,1,2653.920364379883,Oort,0.12
33,0.9914,0.027054316019127146,OORT,MNIST,50,1,2734.3421936035156,Oort,0.12
34,0.9918,0.026345084938709625,OORT,MNIST,50,1,2814.7640228271484,Oort,0.16
35,0.9915,0.02637286485349905,OORT,MNIST,50,1,2895.1858520507812,Oort,0.16
36,0.9919,0.026713191449749867,OORT,MNIST,50,1,2975.607681274414,Oort,0.12
37,0.992,0.026222608395377756,OORT,MNIST,50,1,3056.029510498047,Oort,0.12
38,0.9919,0.02659831055339091,OORT,MNIST,50,1,3136.4513397216797,Oort,0.16
39,0.9921,0.026574109941535425,OORT,MNIST,50,1,3216.8731689453125,Oort,0.16
40,0.9927,0.026330962972815904,OORT,MNIST,50,1,3297.2949981689453,Oort,0.12
41,0.9922,0.02599458461598115,OORT,MNIST,50,1,3377.716827392578,Oort,0.12
42,0.9922,0.026521279398189653,OORT,MNIST,50,1,3458.138656616211,Oort,0.08
43,0.9919,0.026128714366716304,OORT,MNIST,50,1,3538.5604858398438,Oort,0.16
44,0.9923,0.026018766491518908,OORT,MNIST,50,1,3618.9823150634766,Oort,0.16
45,0.9915,0.028357373899884988,OORT,MNIST,50,1,3699.4041442871094,Oort,0.16
46,0.9919,0.02683574143085207,OORT,MNIST,50,1,3779.825973510742,Oort,0.16
47,0.992,0.026466098531625175,OORT,MNIST,50,1,3860.247802734375,Oort,0.16
48,0.992,0.026535246635200748,OORT,MNIST,50,1,3940.669631958008,Oort,0.12
49,0.992,0.027192474677492647,OORT,MNIST,50,1,4021.0914611816406,Oort,0.12
50,0.9923,0.02623758917631785,OORT,MNIST,50,1,4101.513290405273,Oort,0.12
