round,accuracy,loss,strategy,dataset,num_clients,alpha,comm_cost_mb,Strategy,straggle_ratio
1,0.9557,0.14904889806210994,OORT,MNIST,50,iid,160.84365844726562,Oort,0.2
2,0.972,0.08869711089860648,OORT,MNIST,50,iid,241.26548767089844,Oort,0.2
3,0.979,0.0691408112055622,OORT,MNIST,50,iid,321.68731689453125,Oort,0.24
4,0.9817,0.0576794844082091,OORT,MNIST,50,iid,402.10914611816406,Oort,0.24
5,0.9849,0.049493870187317955,OORT,MNIST,50,iid,482.5309753417969,Oort,0.32
6,0.9856,0.04508466939807404,OORT,MNIST,50,iid,562.9528045654297,Oort,0.4
7,0.987,0.042359303261653984,OORT,MNIST,50,iid,643.3746337890625,Oort,0.28
8,0.9876,0.039412346973334206,OORT,MNIST,50,iid,723.7964630126953,Oort,0.28
9,0.9883,0.037681760430388386,OORT,MNIST,50,iid,804.2182922363281,Oort,0.2
10,0.9888,0.03567867766129202,OORT,MNIST,50,iid,884.6401214599609,Oort,0.32
11,0.9893,0.03390494252425851,OORT,MNIST,50,iid,965.0619506835938,Oort,0.32
12,0.9891,0.03390255104264943,OORT,MNIST,50,iid,1045.4837799072266,Oort,0.2
13,0.9898,0.033214023221255044,OORT,MNIST,50,iid,1125.9056091308594,Oort,0.24
14,0.9899,0.03268235401055426,OORT,MNIST,50,iid,1206.3274383544922,Oort,0.28
15,0.9902,0.030974634283807246,OORT,MNIST,50,iid,1286.749267578125,Oort,0.36
16,0.9902,0.030125462717184564,OORT,MNIST,50,iid,1367.1710968017578,Oort,0.36
17,0.9907,0.02964070939103258,OORT,MNIST,50,iid,1447.5929260253906,Oort,0.4
18,0.9909,0.02936298950680066,OORT,MNIST,50,iid,1528.0147552490234,Oort,0.4
19,0.9912,0.028390038237097907,OORT,MNIST,50,iid,1608.4365844726562,Oort,0.36
20,0.9911,0.0288918331519817,OORT,MNIST,50,iid,1688.858413696289,Oort,0.4
21,0.9909,0.02887222188899759,OORT,MNIST,50,iid,1769.2802429199219,Oort,0.36
22,0.9913,0.028175560173165286,OORT,MNIST,50,iid,1849.7020721435547,Oort,0.36
23,0.9915,0.02793791888242122,OORT,MNIST,50,iid,1930.1239013671875,Oort,0.28
24,0.9917,0.027764606551395263,OORT,MNIST,50,iid,2010.5457305908203,Oort,0.32
25,0.992,0.027127755862788764,OORT,MNIST,50,iid,2090.967559814453,Oort,0.32
26,0.9916,0.02715630849454028,OORT,MNIST,50,iid,2171.389389038086,Oort,0.32
27,0.9918,0.026817341806174955,OORT,MNIST,50,iid,2251.8112182617188,Oort,0.28
28,0.9918,0.026959612788300728,OORT,MNIST,50,iid,2332.2330474853516,Oort,0.4
29,0.9924,0.02634372006744379,OORT,MNIST,50,iid,2412.6548767089844,Oort,0.32
30,0.9919,0.026314618857813183,OORT,MNIST,50,iid,2493.076705932617,Oort,0.4
31,0.992,0.026596826646235423,OORT,MNIST,50,iid,2573.49853515625,Oort,0.4
32,0.9925,0.026182058706186943,OORT,MNIST,50,iid,2653.920364379883,Oort,0.36
33,0.9926,0.02583876173884637,OORT,MNIST,50,iid,2734.3421936035156,Oort,0.36
34,0.9922,0.025565871984459226,OORT,MNIST,50,iid,2814.7640228271484,Oort,0.36
35,0.9921,0.025831785656471037,OORT,MNIST,50,iid,2895.1858520507812,Oort,0.32
36,0.9922,0.026259644660419145,OORT,MNIST,50,iid,2975.607681274414,Oort,0.4
37,0.9922,0.025786722629803988,OORT,MNIST,50,iid,3056.029510498047,Oort,0.4
38,0.9922,0.025620575360849034,OORT,MNIST,50,iid,3136.4513397216797,Oort,0.44
39,0.9921,0.02588042699883954,OORT,MNIST,50,iid,3216.8731689453125,Oort,0.32
40,0.9928,0.025354660707589936,OORT,MNIST,50,iid,3297.2949981689453,Oort,0.32
41,0.9925,0.025397015150857623,OORT,MNIST,50,iid,3377.716827392578,Oort,0.4
42,0.9925,0.02509895820309757,OORT,MNIST,50,iid,3458.138656616211,Oort,0.28
43,0.9926,0.025451648288565047,OORT,MNIST,50,iid,3538.5604858398438,Oort,0.32
44,0.993,0.025389709875801053,OORT,MNIST,50,iid,3618.9823150634766,Oort,0.36
45,0.9927,0.025436043255889672,OORT,MNIST,50,iid,3699.4041442871094,Oort,0.44
46,0.9927,0.025091215557672696,OORT,MNIST,50,iid,3779.825973510742,Oort,0.32
47,0.9929,0.02509163765642443,OORT,MNIST,50,iid,3860.247802734375,Oort,0.36
48,0.9928,0.024899520178935926,OORT,MNIST,50,iid,3940.669631958008,Oort,0.36
49,0.9934,0.024875275402192348,OORT,MNIST,50,iid,4021.0914611816406,Oort,0.36
50,0.9932,0.02481042599221837,OORT,MNIST,50,iid,4101.513290405273,Oort,0.36
