Round,Test Accuracy,Test Loss,Comm Cost (MB),Elapsed (s),Round Time (s),Straggler Ratio,Participation Rate,Train Loss,Train Accuracy
1.0,0.2286,2.411184,40.847549,9231.53903,92.315369,0.0,0.5,0.27042,0.886747
2.0,0.2658,2.566536,40.847549,9231.539044,92.315369,0.0,0.5,0.217534,0.913353
3.0,0.2638,2.943943,40.847549,9231.539047,92.315369,0.0,0.5,0.193043,0.9232
4.0,0.2289,2.946288,40.847549,9231.539049,92.315369,0.0,0.5,0.121134,0.957846
5.0,0.3668,2.088442,40.847549,9231.539052,92.315369,0.0,0.5,0.101676,0.961346
6.0,0.3748,2.583637,40.847549,9231.539055,92.315369,0.0,0.5,0.101027,0.963795
7.0,0.289,3.036337,40.847549,9231.539057,92.315369,0.0,0.5,0.057665,0.982773
8.0,0.3776,3.036922,40.847549,9231.539059,92.315369,0.0,0.5,0.043586,0.984339
9.0,0.3136,3.454962,40.847549,9231.539062,92.315369,0.0,0.5,0.021953,0.99327
10.0,0.3081,3.393693,40.847549,9231.539066,92.315369,0.0,0.5,0.030705,0.993358
11.0,0.3697,2.264677,40.847549,9231.539069,92.315369,0.0,0.5,0.039925,0.987489
12.0,0.2569,5.039955,40.847549,9231.539073,92.315369,0.0,0.5,0.012326,0.99673
13.0,0.312,2.650057,40.847549,9231.539076,92.315369,0.0,0.5,0.033908,0.990157
14.0,0.3641,2.967088,40.847549,9231.539079,92.315369,0.0,0.5,0.032483,0.991285
15.0,0.3335,3.17363,40.847549,9231.539082,92.315369,0.0,0.5,0.027729,0.993011
16.0,0.4308,2.854475,40.847549,9231.539086,92.315369,0.0,0.5,0.02432,0.994046
17.0,0.3983,3.451806,40.847549,9231.539099,92.315369,0.0,0.5,0.014162,0.996327
18.0,0.237,8.166742,40.847549,9231.539107,92.315369,0.0,0.5,0.009572,0.997985
19.0,0.382,3.278539,40.847549,9231.539112,92.315369,0.0,0.5,0.039978,0.990164
20.0,0.4168,3.109146,40.847549,9231.539116,92.315369,0.0,0.5,0.019972,0.995481
21.0,0.2904,5.342461,40.847549,9231.539119,92.315369,0.0,0.5,0.013294,0.996639
22.0,0.4297,2.796814,40.847549,9231.539124,92.315369,0.0,0.5,0.026957,0.993496
23.0,0.3953,3.540901,40.847549,9231.539128,92.315369,0.0,0.5,0.017758,0.996316
24.0,0.222,9.667418,40.847549,9231.539132,92.315369,0.0,0.5,0.006695,0.998516
25.0,0.3725,3.7639,40.847549,9231.539138,92.315369,0.0,0.5,0.011299,0.998036
26.0,0.3296,5.516541,40.847549,9231.539144,92.315369,0.0,0.5,0.006725,0.99866
27.0,0.3771,4.253011,40.847549,9231.539149,92.315369,0.0,0.5,0.009235,0.998332
28.0,0.2688,7.09766,40.847549,9231.539154,92.315369,0.0,0.5,0.006268,0.99888
29.0,0.368,4.547643,40.847549,9231.539159,92.315369,0.0,0.5,0.017412,0.997156
30.0,0.4617,3.253531,40.847549,9231.539164,92.315369,0.0,0.5,0.003586,0.998897
31.0,0.3894,3.48322,40.847549,9231.539169,92.315369,0.0,0.5,0.015978,0.996515
32.0,0.4327,3.671249,40.847549,9231.539174,92.315369,0.0,0.5,0.006484,0.998325
33.0,0.3661,5.087926,40.847549,9231.53918,92.315369,0.0,0.5,0.006424,0.998692
34.0,0.3574,5.627892,40.847549,9231.539191,92.315369,0.0,0.5,0.004536,0.99918
35.0,0.4669,3.11517,40.847549,9231.539196,92.315369,0.0,0.5,0.01571,0.996869
36.0,0.4576,3.696434,40.847549,9231.539202,92.315369,0.0,0.5,0.000962,0.999797
37.0,0.2929,8.200692,40.847549,9231.539208,92.315369,0.0,0.5,0.005969,0.998954
38.0,0.4909,3.024957,40.847549,9231.539214,92.315369,0.0,0.5,0.009031,0.998107
39.0,0.437,3.909384,40.847549,9231.539222,92.315369,0.0,0.5,0.001276,0.999805
40.0,0.4957,3.168502,40.847549,9231.539228,92.315369,0.0,0.5,0.004174,0.999203
41.0,0.3585,6.914366,40.847549,9231.539236,92.315369,0.0,0.5,0.008687,0.998415
42.0,0.421,3.728825,40.847549,9231.539243,92.315369,0.0,0.5,0.014585,0.99788
43.0,0.4127,4.167022,40.847549,9231.539249,92.315369,0.0,0.5,0.012325,0.995952
44.0,0.4174,3.621496,40.847549,9231.539256,92.315369,0.0,0.5,0.011269,0.997855
45.0,0.4262,4.00392,40.847549,9231.539262,92.315369,0.0,0.5,0.007904,0.998347
46.0,0.4089,4.742385,40.847549,9231.539268,92.315369,0.0,0.5,0.003027,0.999431
47.0,0.3848,5.186257,40.847549,9231.539275,92.315369,0.0,0.5,0.00675,0.998378
48.0,0.3883,5.169621,40.847549,9231.539282,92.315369,0.0,0.5,0.000453,0.999904
49.0,0.3806,5.143628,40.847549,9231.539289,92.315369,0.0,0.5,0.012395,0.99781
50.0,0.4361,3.703392,40.847549,9231.539296,92.315369,0.0,0.5,0.006341,0.998083
51.0,0.4713,3.755593,40.847549,9231.539303,92.315369,0.0,0.5,0.001529,0.999599
52.0,0.396,5.020012,40.847549,9231.53931,92.315369,0.0,0.5,0.002812,0.999474
53.0,0.4634,3.863256,40.847549,9231.539318,92.315369,0.0,0.5,0.003559,0.999413
54.0,0.4144,5.093135,40.847549,9231.539327,92.315369,0.0,0.5,0.000287,0.999964
55.0,0.5074,3.233859,40.847549,9231.53934,92.315369,0.0,0.5,0.005975,0.998988
56.0,0.4945,3.490093,40.847549,9231.539347,92.315369,0.0,0.5,0.004657,0.998941
57.0,0.4764,3.975235,40.847549,9231.539355,92.315369,0.0,0.5,0.000234,0.999991
58.0,0.3895,6.042326,40.847549,9231.539363,92.315369,0.0,0.5,0.002553,0.999503
59.0,0.3879,5.889366,40.847549,9231.539371,92.315369,0.0,0.5,0.005727,0.999075
60.0,0.5202,3.186163,40.847549,9231.539379,92.315369,0.0,0.5,0.002392,0.999596
61.0,0.4857,3.752944,40.847549,9231.539387,92.315369,0.0,0.5,0.001975,0.999529
62.0,0.4254,5.589055,40.847549,9231.539396,92.315369,0.0,0.5,0.001317,0.999699
63.0,0.3591,7.665017,40.847549,9231.539404,92.315369,0.0,0.5,0.001258,0.999726
64.0,0.432,4.96631,40.847549,9231.539412,92.315369,0.0,0.5,0.003025,0.999456
65.0,0.4235,5.364397,40.847549,9231.539423,92.315369,0.0,0.5,0.00172,0.999683
66.0,0.2702,10.589251,40.847549,9231.539434,92.315369,0.0,0.5,0.002317,0.999562
67.0,0.42,4.272426,40.847549,9231.539443,92.315369,0.0,0.5,0.014669,0.99646
68.0,0.4306,4.535706,40.847549,9231.539451,92.315369,0.0,0.5,0.001862,0.999591
69.0,0.4683,3.958175,40.847549,9231.539461,92.315369,0.0,0.5,0.001406,0.999613
70.0,0.2916,8.942194,40.847549,9231.53947,92.315369,0.0,0.5,0.001531,0.999676
71.0,0.5131,3.110874,40.847549,9231.539479,92.315369,0.0,0.5,0.005409,0.999236
