Round,Test Accuracy,Test Loss,Comm Cost (MB),Elapsed (s),Round Time (s),Straggler Ratio,Participation Rate,Train Loss,Train Accuracy
1.0,0.5507,1.284851,40.847549,7601.437994,76.014131,0.0,0.5,1.594165,0.417768
2.0,0.6353,1.045194,40.847549,7601.438005,76.014131,0.0,0.5,1.03723,0.627536
3.0,0.6644,0.99283,40.847549,7601.438008,76.014131,0.0,0.5,0.725222,0.743752
4.0,0.6729,1.012691,40.847549,7601.438011,76.014131,0.0,0.5,0.47616,0.8348
5.0,0.6882,1.038583,40.847549,7601.438013,76.014131,0.0,0.5,0.377206,0.868528
6.0,0.6951,1.046458,40.847549,7601.438016,76.014131,0.0,0.5,0.291189,0.900248
7.0,0.6817,1.183857,40.847549,7601.438019,76.014131,0.0,0.5,0.181863,0.937248
8.0,0.681,1.211247,40.847549,7601.438022,76.014131,0.0,0.5,0.190929,0.935024
9.0,0.6887,1.212612,40.847549,7601.438025,76.014131,0.0,0.5,0.157454,0.94652
10.0,0.6888,1.175956,40.847549,7601.438029,76.014131,0.0,0.5,0.169224,0.94256
11.0,0.6966,1.285545,40.847549,7601.438032,76.014131,0.0,0.5,0.102813,0.9656
12.0,0.6948,1.30953,40.847549,7601.438036,76.014131,0.0,0.5,0.096778,0.968072
13.0,0.6934,1.327515,40.847549,7601.438039,76.014131,0.0,0.5,0.075826,0.97548
14.0,0.7001,1.377743,40.847549,7601.438042,76.014131,0.0,0.5,0.068379,0.977704
15.0,0.702,1.442016,40.847549,7601.438046,76.014131,0.0,0.5,0.045428,0.986064
16.0,0.7065,1.51668,40.847549,7601.43805,76.014131,0.0,0.5,0.043469,0.986504
17.0,0.6992,1.375588,40.847549,7601.438054,76.014131,0.0,0.5,0.063868,0.97908
18.0,0.6974,1.472283,40.847549,7601.438058,76.014131,0.0,0.5,0.043071,0.986312
19.0,0.6912,1.503273,40.847549,7601.438062,76.014131,0.0,0.5,0.053589,0.982528
20.0,0.7006,1.565461,40.847549,7601.438066,76.014131,0.0,0.5,0.03912,0.988296
21.0,0.7017,1.602613,40.847549,7601.43807,76.014131,0.0,0.5,0.025815,0.99228
22.0,0.7002,1.751135,40.847549,7601.438074,76.014131,0.0,0.5,0.017402,0.994824
23.0,0.693,1.716647,40.847549,7601.438078,76.014131,0.0,0.5,0.043035,0.986864
24.0,0.6937,1.567612,40.847549,7601.438082,76.014131,0.0,0.5,0.05508,0.982056
25.0,0.706,1.683343,40.847549,7601.438087,76.014131,0.0,0.5,0.026831,0.991568
26.0,0.7073,1.762275,40.847549,7601.438092,76.014131,0.0,0.5,0.012936,0.996216
27.0,0.7046,1.762749,40.847549,7601.438097,76.014131,0.0,0.5,0.011816,0.996608
28.0,0.708,1.874743,40.847549,7601.438107,76.014131,0.0,0.5,0.00306,0.999432
29.0,0.7093,1.972872,40.847549,7601.438112,76.014131,0.0,0.5,0.001648,0.999768
30.0,0.7088,2.052376,40.847549,7601.438117,76.014131,0.0,0.5,0.000613,1.0
31.0,0.7096,2.100884,40.847549,7601.438122,76.014131,0.0,0.5,0.000453,1.0
32.0,0.7119,2.138408,40.847549,7601.438127,76.014131,0.0,0.5,0.000386,1.0
33.0,0.7104,2.164548,40.847549,7601.438133,76.014131,0.0,0.5,0.000383,1.0
34.0,0.7106,2.191766,40.847549,7601.438138,76.014131,0.0,0.5,0.000354,1.0
35.0,0.7101,2.23237,40.847549,7601.438144,76.014131,0.0,0.5,0.000237,1.0
36.0,0.7108,2.256968,40.847549,7601.43815,76.014131,0.0,0.5,0.000185,1.0
37.0,0.71,2.27343,40.847549,7601.438155,76.014131,0.0,0.5,0.000227,1.0
38.0,0.7108,2.29272,40.847549,7601.438161,76.014131,0.0,0.5,0.000195,1.0
