Round,Test Accuracy,Test Loss,Comm Cost (MB),Elapsed (s),Round Time (s),Straggler Ratio,Participation Rate,Train Loss,Train Accuracy
1.0,0.4833,1.697661,204.127884,3950.327824,39.503247,0.0,0.5,0.277468,0.914753
2.0,0.8275,0.675764,204.127884,3950.327834,39.503247,0.0,0.5,0.109677,0.968881
3.0,0.8256,0.555352,204.127884,3950.327899,39.503247,0.0,0.5,0.056455,0.983365
4.0,0.9041,0.252659,204.127884,3950.327902,39.503247,0.0,0.5,0.046197,0.985335
5.0,0.9222,0.216397,204.127884,3950.327905,39.503247,0.0,0.5,0.029211,0.991176
6.0,0.9283,0.202115,204.127884,3950.327908,39.503247,0.0,0.5,0.025039,0.992466
7.0,0.9318,0.195711,204.127884,3950.32791,39.503247,0.0,0.5,0.017227,0.994645
8.0,0.9589,0.128164,204.127884,3950.327912,39.503247,0.0,0.5,0.019508,0.994066
9.0,0.948,0.157059,204.127884,3950.327915,39.503247,0.0,0.5,0.011924,0.996364
10.0,0.9485,0.15012,204.127884,3950.327918,39.503247,0.0,0.5,0.014095,0.9957
11.0,0.9615,0.120966,204.127884,3950.327921,39.503247,0.0,0.5,0.011587,0.996629
12.0,0.9543,0.142032,204.127884,3950.327924,39.503247,0.0,0.5,0.010312,0.996872
13.0,0.9505,0.159199,204.127884,3950.327926,39.503247,0.0,0.5,0.010696,0.996817
14.0,0.9726,0.090391,204.127884,3950.327929,39.503247,0.0,0.5,0.012421,0.996115
15.0,0.9666,0.111179,204.127884,3950.327933,39.503247,0.0,0.5,0.007762,0.997759
16.0,0.9612,0.125812,204.127884,3950.327936,39.503247,0.0,0.5,0.008736,0.997385
17.0,0.9667,0.104917,204.127884,3950.327942,39.503247,0.0,0.5,0.006028,0.998229
18.0,0.9719,0.09227,204.127884,3950.327947,39.503247,0.0,0.5,0.007684,0.997844
19.0,0.9728,0.091196,204.127884,3950.327951,39.503247,0.0,0.5,0.007523,0.997832
20.0,0.9713,0.089997,204.127884,3950.327955,39.503247,0.0,0.5,0.007811,0.997586
21.0,0.9786,0.068074,204.127884,3950.327959,39.503247,0.0,0.5,0.007656,0.997818
22.0,0.9788,0.067826,204.127884,3950.327963,39.503247,0.0,0.5,0.005586,0.998442
23.0,0.9765,0.079965,204.127884,3950.327967,39.503247,0.0,0.5,0.003843,0.998966
24.0,0.9722,0.090222,204.127884,3950.327971,39.503247,0.0,0.5,0.004051,0.998901
25.0,0.9788,0.070228,204.127884,3950.327975,39.503247,0.0,0.5,0.004674,0.998682
26.0,0.972,0.093873,204.127884,3950.32798,39.503247,0.0,0.5,0.003019,0.999234
27.0,0.9766,0.085476,204.127884,3950.327985,39.503247,0.0,0.5,0.002221,0.999455
28.0,0.9746,0.085036,204.127884,3950.327989,39.503247,0.0,0.5,0.003887,0.99888
29.0,0.9776,0.079599,204.127884,3950.327993,39.503247,0.0,0.5,0.003427,0.999129
30.0,0.9781,0.074121,204.127884,3950.327998,39.503247,0.0,0.5,0.003868,0.998951
31.0,0.9809,0.064045,204.127884,3950.328002,39.503247,0.0,0.5,0.004115,0.998669
32.0,0.98,0.072876,204.127884,3950.328007,39.503247,0.0,0.5,0.003055,0.999233
33.0,0.979,0.071154,204.127884,3950.328012,39.503247,0.0,0.5,0.003773,0.998951
34.0,0.9789,0.071264,204.127884,3950.328019,39.503247,0.0,0.5,0.003735,0.998925
35.0,0.979,0.073175,204.127884,3950.328024,39.503247,0.0,0.5,0.003481,0.999037
36.0,0.9772,0.080789,204.127884,3950.328029,39.503247,0.0,0.5,0.004351,0.998659
37.0,0.9796,0.073887,204.127884,3950.328034,39.503247,0.0,0.5,0.002498,0.999276
38.0,0.9808,0.069985,204.127884,3950.328039,39.503247,0.0,0.5,0.002602,0.999305
39.0,0.9785,0.081171,204.127884,3950.328046,39.503247,0.0,0.5,0.001341,0.999687
40.0,0.9808,0.073073,204.127884,3950.328052,39.503247,0.0,0.5,0.002256,0.999429
41.0,0.98,0.072196,204.127884,3950.328058,39.503247,0.0,0.5,0.002375,0.999404
42.0,0.9816,0.06659,204.127884,3950.328064,39.503247,0.0,0.5,0.002173,0.999526
43.0,0.9823,0.062839,204.127884,3950.328069,39.503247,0.0,0.5,0.002068,0.999508
44.0,0.9813,0.070881,204.127884,3950.328075,39.503247,0.0,0.5,0.001347,0.999723
45.0,0.9804,0.074162,204.127884,3950.328082,39.503247,0.0,0.5,0.001914,0.999554
46.0,0.9763,0.094159,204.127884,3950.328088,39.503247,0.0,0.5,0.001538,0.999637
47.0,0.9795,0.076387,204.127884,3950.328094,39.503247,0.0,0.5,0.002371,0.999341
48.0,0.9806,0.07295,204.127884,3950.3281,39.503247,0.0,0.5,0.002648,0.999276
49.0,0.9769,0.087608,204.127884,3950.328107,39.503247,0.0,0.5,0.001976,0.999435
50.0,0.9791,0.081227,204.127884,3950.328113,39.503247,0.0,0.5,0.001865,0.999491
51.0,0.9779,0.090384,204.127884,3950.32812,39.503247,0.0,0.5,0.000972,0.999834
52.0,0.9799,0.080881,204.127884,3950.328127,39.503247,0.0,0.5,0.001018,0.999717
53.0,0.9788,0.086557,204.127884,3950.328134,39.503247,0.0,0.5,0.000597,0.999927
54.0,0.9804,0.082195,204.127884,3950.328142,39.503247,0.0,0.5,0.001094,0.99984
55.0,0.9783,0.088016,204.127884,3950.328149,39.503247,0.0,0.5,0.001334,0.999707
56.0,0.9806,0.072996,204.127884,3950.328157,39.503247,0.0,0.5,0.001989,0.999477
57.0,0.9793,0.079302,204.127884,3950.328164,39.503247,0.0,0.5,0.001345,0.999593
58.0,0.978,0.085144,204.127884,3950.328171,39.503247,0.0,0.5,0.001264,0.999671
59.0,0.9803,0.078593,204.127884,3950.328178,39.503247,0.0,0.5,0.001367,0.999684
60.0,0.9797,0.081989,204.127884,3950.328186,39.503247,0.0,0.5,0.001343,0.999608
61.0,0.9801,0.080368,204.127884,3950.328193,39.503247,0.0,0.5,0.001374,0.999716
62.0,0.9818,0.0729,204.127884,3950.328201,39.503247,0.0,0.5,0.001637,0.999563
63.0,0.9805,0.07693,204.127884,3950.328209,39.503247,0.0,0.5,0.001798,0.999519
64.0,0.9814,0.072442,204.127884,3950.328217,39.503247,0.0,0.5,0.000937,0.999866
